"initial_alias","converted_alias","name","description","namespace"
"55573","CDV3","CDV3","CDV3 homolog [Source:HGNC Symbol;Acc:HGNC:26928]","ENTREZGENE_ACC"
"1452","CSNK1A1","CSNK1A1","casein kinase 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2451]","ENTREZGENE_ACC"
"7326","UBE2G1","UBE2G1","ubiquitin conjugating enzyme E2 G1 [Source:HGNC Symbol;Acc:HGNC:12482]","ENTREZGENE_ACC"
"26092","TOR1AIP1","TOR1AIP1","torsin 1A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29456]","ENTREZGENE_ACC"
"8450","CUL4B","CUL4B","cullin 4B [Source:HGNC Symbol;Acc:HGNC:2555]","ENTREZGENE_ACC"
"8301","PICALM","PICALM","phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]","ENTREZGENE_ACC"
"5573","PRKAR1A","PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]","ENTREZGENE_ACC"
"8545","CGGBP1","CGGBP1","CGG triplet repeat binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1888]","ENTREZGENE_ACC"
"2776","GNAQ","GNAQ","G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]","ENTREZGENE_ACC"
"4087","SMAD2","SMAD2","SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]","ENTREZGENE_ACC"
"8780","RIOK3","RIOK3","RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]","ENTREZGENE_ACC"
"10640","EXOC5","EXOC5","exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]","ENTREZGENE_ACC"
"55669","MFN1","MFN1","mitofusin 1 [Source:HGNC Symbol;Acc:HGNC:18262]","ENTREZGENE_ACC"
"55233","MOB1A","MOB1A","MOB kinase activator 1A [Source:HGNC Symbol;Acc:HGNC:16015]","ENTREZGENE_ACC"
"9337","CNOT8","CNOT8","CCR4-NOT transcription complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:9207]","ENTREZGENE_ACC"
"7319","UBE2A","UBE2A","ubiquitin conjugating enzyme E2 A [Source:HGNC Symbol;Acc:HGNC:12472]","ENTREZGENE_ACC"
"51714","SELENOT","SELENOT","selenoprotein T [Source:HGNC Symbol;Acc:HGNC:18136]","ENTREZGENE_ACC"
"7534","YWHAZ","YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]","ENTREZGENE_ACC"
"5868","RAB5A","RAB5A","RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]","ENTREZGENE_ACC"
"29766","TMOD3","TMOD3","tropomodulin 3 [Source:HGNC Symbol;Acc:HGNC:11873]","ENTREZGENE_ACC"
"382","ARF6","ARF6","ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]","ENTREZGENE_ACC"
"8540","AGPS","AGPS","alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]","ENTREZGENE_ACC"
"51164","DCTN4","DCTN4","dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]","ENTREZGENE_ACC"
"1654","DDX3X","DDX3X","DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]","ENTREZGENE_ACC"
"1968","EIF2S3","EIF2S3","eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]","ENTREZGENE_ACC"
"56650","CLDND1","CLDND1","claudin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1322]","ENTREZGENE_ACC"
"8030","CCDC6","CCDC6","coiled-coil domain containing 6 [Source:HGNC Symbol;Acc:HGNC:18782]","ENTREZGENE_ACC"
"5048","PAFAH1B1","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]","ENTREZGENE_ACC"
"25800","SLC39A6","SLC39A6","solute carrier family 39 member 6 [Source:HGNC Symbol;Acc:HGNC:18607]","ENTREZGENE_ACC"
"51573","GDE1","GDE1","glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]","ENTREZGENE_ACC"
"5782","PTPN12","PTPN12","protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]","ENTREZGENE_ACC"
"6760","SS18","SS18","SS18 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:11340]","ENTREZGENE_ACC"
"23190","UBXN4","UBXN4","UBX domain protein 4 [Source:HGNC Symbol;Acc:HGNC:14860]","ENTREZGENE_ACC"
"55681","SCYL2","SCYL2","SCY1 like pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:19286]","ENTREZGENE_ACC"
"55916","NXT2","NXT2","nuclear transport factor 2 like export factor 2 [Source:HGNC Symbol;Acc:HGNC:18151]","ENTREZGENE_ACC"
"9341","VAMP3","VAMP3","vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]","ENTREZGENE_ACC"
"3998","LMAN1","LMAN1","lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]","ENTREZGENE_ACC"
"10006","ABI1","ABI1","abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]","ENTREZGENE_ACC"
"1635","DCTD","DCTD","dCMP deaminase [Source:HGNC Symbol;Acc:HGNC:2710]","ENTREZGENE_ACC"
"25932","CLIC4","CLIC4","chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]","ENTREZGENE_ACC"
"1432","MAPK14","MAPK14","mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]","ENTREZGENE_ACC"
"387","RHOA","RHOA","ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]","ENTREZGENE_ACC"
"4179","CD46","CD46","CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]","ENTREZGENE_ACC"
"23473","CAPN7","CAPN7","calpain 7 [Source:HGNC Symbol;Acc:HGNC:1484]","ENTREZGENE_ACC"
"9425","CDYL","CDYL","chromodomain Y like [Source:HGNC Symbol;Acc:HGNC:1811]","ENTREZGENE_ACC"
"528","ATP6V1C1","ATP6V1C1","ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]","ENTREZGENE_ACC"
"5962","RDX","RDX","radixin [Source:HGNC Symbol;Acc:HGNC:9944]","ENTREZGENE_ACC"
"10565","ARFGEF1","ARFGEF1","ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]","ENTREZGENE_ACC"
"10048","RANBP9","RANBP9","RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]","ENTREZGENE_ACC"
"10049","DNAJB6","DNAJB6","DnaJ heat shock protein family (Hsp40) member B6 [Source:HGNC Symbol;Acc:HGNC:14888]","ENTREZGENE_ACC"
"6197","RPS6KA3","RPS6KA3","ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]","ENTREZGENE_ACC"
"7803","PTP4A1","PTP4A1","protein tyrosine phosphatase 4A1 [Source:HGNC Symbol;Acc:HGNC:9634]","ENTREZGENE_ACC"
"9802","DAZAP2","DAZAP2","DAZ associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2684]","ENTREZGENE_ACC"
"4735","SEPTIN2","SEPTIN2","septin 2 [Source:HGNC Symbol;Acc:HGNC:7729]","ENTREZGENE_ACC"
"2782","GNB1","GNB1","G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]","ENTREZGENE_ACC"
"9135","RABEP1","RABEP1","rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]","ENTREZGENE_ACC"
"8773","SNAP23","SNAP23","synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131]","ENTREZGENE_ACC"
"23291","FBXW11","FBXW11","F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]","ENTREZGENE_ACC"
"10097","ACTR2","ACTR2","actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]","ENTREZGENE_ACC"
"164","AP1G1","AP1G1","adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]","ENTREZGENE_ACC"
"10092","ARPC5","ARPC5","actin related protein 2/3 complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:708]","ENTREZGENE_ACC"
"7323","UBE2D3","UBE2D3","ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]","ENTREZGENE_ACC"
"102","ADAM10","ADAM10","ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]","ENTREZGENE_ACC"
"3836","KPNA1","KPNA1","karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394]","ENTREZGENE_ACC"
"4149","MAX","MAX","MYC associated factor X [Source:HGNC Symbol;Acc:HGNC:6913]","ENTREZGENE_ACC"
"10678","B3GNT2","B3GNT2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]","ENTREZGENE_ACC"
"1810","DR1","DR1","down-regulator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:3017]","ENTREZGENE_ACC"
"9589","WTAP","WTAP","WT1 associated protein [Source:HGNC Symbol;Acc:HGNC:16846]","ENTREZGENE_ACC"
"2665","GDI2","GDI2","GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]","ENTREZGENE_ACC"
"81537","SGPP1","SGPP1","sphingosine-1-phosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:17720]","ENTREZGENE_ACC"
"4074","M6PR","M6PR","mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]","ENTREZGENE_ACC"
"9522","SCAMP1","SCAMP1","secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]","ENTREZGENE_ACC"
"6856","SYPL1","SYPL1","synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]","ENTREZGENE_ACC"
"3688","ITGB1","ITGB1","integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]","ENTREZGENE_ACC"
"3799","KIF5B","KIF5B","kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]","ENTREZGENE_ACC"
"523","ATP6V1A","ATP6V1A","ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]","ENTREZGENE_ACC"
"51582","AZIN1","AZIN1","antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]","ENTREZGENE_ACC"
"23062","GGA2","GGA2","golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]","ENTREZGENE_ACC"
"3840","KPNA4","KPNA4","karyopherin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6397]","ENTREZGENE_ACC"
"5594","MAPK1","MAPK1","mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]","ENTREZGENE_ACC"
"5151","PDE8A","PDE8A","phosphodiesterase 8A [Source:HGNC Symbol;Acc:HGNC:8793]","ENTREZGENE_ACC"
"10672","GNA13","GNA13","G protein subunit alpha 13 [Source:HGNC Symbol;Acc:HGNC:4381]","ENTREZGENE_ACC"
"3964","LGALS8","LGALS8","galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]","ENTREZGENE_ACC"
"9246","UBE2L6","UBE2L6","ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]","ENTREZGENE_ACC"
"4615","MYD88","MYD88","MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]","ENTREZGENE_ACC"
"54625","PARP14","PARP14","poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]","ENTREZGENE_ACC"
"6737","TRIM21","TRIM21","tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]","ENTREZGENE_ACC"
"5920","PLAAT4","PLAAT4","phospholipase A and acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:9869]","ENTREZGENE_ACC"
"5696","PSMB8","PSMB8","proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]","ENTREZGENE_ACC"
"9976","CLEC2B","CLEC2B","C-type lectin domain family 2 member B [Source:HGNC Symbol;Acc:HGNC:2053]","ENTREZGENE_ACC"
"7453","WARS1","WARS1","tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]","ENTREZGENE_ACC"
"103","ADAR","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE_ACC"
"11274","USP18","USP18","ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]","ENTREZGENE_ACC"
"3434","IFIT1","IFIT1","interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]","ENTREZGENE_ACC"
"3135","HLA-G","HLA-G","major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]","ENTREZGENE_ACC"
"3627","CXCL10","CXCL10","C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]","ENTREZGENE_ACC"
"10379","IRF9","IRF9","interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]","ENTREZGENE_ACC"
"11118","BTN3A2","BTN3A2","butyrophilin subfamily 3 member A2 [Source:HGNC Symbol;Acc:HGNC:1139]","ENTREZGENE_ACC"
"3134","HLA-F","HLA-F","major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]","ENTREZGENE_ACC"
"83666","PARP9","PARP9","poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]","ENTREZGENE_ACC"
"3428","IFI16","IFI16","interferon gamma inducible protein 16 [Source:HGNC Symbol;Acc:HGNC:5395]","ENTREZGENE_ACC"
"51191","HERC5","HERC5","HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]","ENTREZGENE_ACC"
"4600","MX2","MX2","MX dynamin like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:7533]","ENTREZGENE_ACC"
"2643","GCH1","GCH1","GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]","ENTREZGENE_ACC"
"6672","SP100","SP100","SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]","ENTREZGENE_ACC"
"10964","IFI44L","IFI44L","interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]","ENTREZGENE_ACC"
"4938","OAS1","OAS1","2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]","ENTREZGENE_ACC"
"3133","HLA-E","HLA-E","major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]","ENTREZGENE_ACC"
"10561","IFI44","IFI44","interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]","ENTREZGENE_ACC"
"5721","PSME2","PSME2","proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]","ENTREZGENE_ACC"
"6892","TAPBP","TAPBP","TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]","ENTREZGENE_ACC"
"3105","HLA-A","HLA-A","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]","ENTREZGENE_ACC"
"3106","HLA-B","HLA-B","major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]","ENTREZGENE_ACC"
"3437","IFIT3","IFIT3","interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]","ENTREZGENE_ACC"
"2633","GBP1","GBP1","guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]","ENTREZGENE_ACC"
"3433","IFIT2","IFIT2","interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]","ENTREZGENE_ACC"
"6773","STAT2","STAT2","signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]","ENTREZGENE_ACC"
"94240","EPSTI1","EPSTI1","epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]","ENTREZGENE_ACC"
"3137","None","None","None",""
"391020","None","None","None",""
"4940","OAS3","OAS3","2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]","ENTREZGENE_ACC"
"834","CASP1","CASP1","caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]","ENTREZGENE_ACC"
"5371","PML","PML","PML nuclear body scaffold [Source:HGNC Symbol;Acc:HGNC:9113]","ENTREZGENE_ACC"
"3659","IRF1","IRF1","interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]","ENTREZGENE_ACC"
"3601","IL15RA","IL15RA","interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]","ENTREZGENE_ACC"
"10384","BTN3A3","BTN3A3","butyrophilin subfamily 3 member A3 [Source:HGNC Symbol;Acc:HGNC:1140]","ENTREZGENE_ACC"
"3107","HLA-C","HLA-C","major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]","ENTREZGENE_ACC"
"151636","DTX3L","DTX3L","deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]","ENTREZGENE_ACC"
"55601","DDX60","DDX60","DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]","ENTREZGENE_ACC"
"5359","PLSCR1","PLSCR1","phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]","ENTREZGENE_ACC"
"8519","IFITM1","IFITM1","interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]","ENTREZGENE_ACC"
"51131","PHF11","PHF11","PHD finger protein 11 [Source:HGNC Symbol;Acc:HGNC:17024]","ENTREZGENE_ACC"
"64135","IFIH1","IFIH1","interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]","ENTREZGENE_ACC"
"10581","IFITM2","IFITM2","interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]","ENTREZGENE_ACC"
"5698","PSMB9","PSMB9","proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]","ENTREZGENE_ACC"
"9111","NMI","NMI","N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]","ENTREZGENE_ACC"
"4061","LY6E","LY6E","lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]","ENTREZGENE_ACC"
"837","CASP4","CASP4","caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]","ENTREZGENE_ACC"
"55337","SHFL","SHFL","shiftless antiviral inhibitor of ribosomal frameshifting [Source:HGNC Symbol;Acc:HGNC:25649]","ENTREZGENE_ACC"
"3429","IFI27","IFI27","interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]","ENTREZGENE_ACC"
"54739","XAF1","XAF1","XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]","ENTREZGENE_ACC"
"57674","RNF213","RNF213","ring finger protein 213 [Source:HGNC Symbol;Acc:HGNC:14539]","ENTREZGENE_ACC"
"3669","ISG20","ISG20","interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]","ENTREZGENE_ACC"
"24138","IFIT5","IFIT5","interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]","ENTREZGENE_ACC"
"3430","IFI35","IFI35","interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]","ENTREZGENE_ACC"
"80833","APOL3","APOL3","apolipoprotein L3 [Source:HGNC Symbol;Acc:HGNC:14868]","ENTREZGENE_ACC"
"129607","CMPK2","CMPK2","cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]","ENTREZGENE_ACC"
"3123","HLA-DRB1","HLA-DRB1","major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]","ENTREZGENE_ACC"
"9636","ISG15","ISG15","ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]","ENTREZGENE_ACC"
"10346","TRIM22","TRIM22","tripartite motif containing 22 [Source:HGNC Symbol;Acc:HGNC:16379]","ENTREZGENE_ACC"
"3959","LGALS3BP","LGALS3BP","galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]","ENTREZGENE_ACC"
"3665","IRF7","IRF7","interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]","ENTREZGENE_ACC"
"6772","STAT1","STAT1","signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]","ENTREZGENE_ACC"
"6890","TAP1","TAP1","transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]","ENTREZGENE_ACC"
"80830","APOL6","APOL6","apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]","ENTREZGENE_ACC"
"23586","RIGI","RIGI","RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]","ENTREZGENE_ACC"
"4599","MX1","MX1","MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]","ENTREZGENE_ACC"
"64108","RTP4","RTP4","receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]","ENTREZGENE_ACC"
"2634","GBP2","GBP2","guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]","ENTREZGENE_ACC"
"10410","IFITM3","IFITM3","interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]","ENTREZGENE_ACC"
"8638","OASL","OASL","2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]","ENTREZGENE_ACC"
"684","BST2","BST2","bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]","ENTREZGENE_ACC"
"567","B2M","B2M","beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]","ENTREZGENE_ACC"
"219285","SAMD9L","SAMD9L","sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]","ENTREZGENE_ACC"
"91543","RSAD2","RSAD2","radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]","ENTREZGENE_ACC"
"8743","TNFSF10","TNFSF10","TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]","ENTREZGENE_ACC"
"58472","SQOR","SQOR","sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]","ENTREZGENE_ACC"
"5610","EIF2AK2","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]","ENTREZGENE_ACC"
"5699","PSMB10","PSMB10","proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]","ENTREZGENE_ACC"
"54809","SAMD9","SAMD9","sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]","ENTREZGENE_ACC"
"2537","IFI6","IFI6","interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]","ENTREZGENE_ACC"
"6373","CXCL11","CXCL11","C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]","ENTREZGENE_ACC"
"4939","OAS2","OAS2","2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]","ENTREZGENE_ACC"
"5720","PSME1","PSME1","proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]","ENTREZGENE_ACC"
"51056","LAP3","LAP3","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]","ENTREZGENE_ACC"
"3431","SP110","SP110","SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]","ENTREZGENE_ACC"
"64761","PARP12","PARP12","poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]","ENTREZGENE_ACC"
"4594","MMUT","MMUT","methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526]","ENTREZGENE_ACC"
"23256","SCFD1","SCFD1","sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]","ENTREZGENE_ACC"
"7485","GET1","GET1","guided entry of tail-anchored proteins factor 1 [Source:HGNC Symbol;Acc:HGNC:12790]","ENTREZGENE_ACC"
"23530","NNT","NNT","nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]","ENTREZGENE_ACC"
"81689","ISCA1","ISCA1","iron-sulfur cluster assembly 1 [Source:HGNC Symbol;Acc:HGNC:28660]","ENTREZGENE_ACC"
"55745","AP5M1","AP5M1","adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192]","ENTREZGENE_ACC"
"5825","ABCD3","ABCD3","ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]","ENTREZGENE_ACC"
"900","CCNG1","CCNG1","cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]","ENTREZGENE_ACC"
"10559","SLC35A1","SLC35A1","solute carrier family 35 member A1 [Source:HGNC Symbol;Acc:HGNC:11021]","ENTREZGENE_ACC"
