"initial_alias","converted_alias","name","description","namespace"
"ENSP00000303208","PCSK9","PCSK9","proprotein convertase subtilisin/kexin type 9 [Source:HGNC Symbol;Acc:HGNC:20001]","ENSP"
"ENSP00000348170","HP","HP","haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141]","ENSP"
"ENSP00000266991","None","None","None",""
"ENSP00000237014","TTR","TTR","transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]","ENSP"
"ENSP00000297261","SHH","SHH","sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]","ENSP"
"ENSP00000295731","IHH","IHH","Indian hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:5956]","ENSP"
"ENSP00000386357","LRRTM4","LRRTM4","leucine rich repeat transmembrane neuronal 4 [Source:HGNC Symbol;Acc:HGNC:19411]","ENSP"
"ENSP00000375836","HDLBP","HDLBP","high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]","ENSP"
"ENSP00000230036","GPLD1","GPLD1","glycosylphosphatidylinositol specific phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:4459]","ENSP"
"ENSP00000200676","CETP","CETP","cholesteryl ester transfer protein [Source:HGNC Symbol;Acc:HGNC:1869]","ENSP"
"ENSP00000321334","LPA","LPA","lipoprotein(a) [Source:HGNC Symbol;Acc:HGNC:6667]","ENSP"
"ENSP00000317674","APOL1","APOL1","apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]","ENSP"
"ENSP00000384906","SAA1","SAA1","serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]","ENSP"
"ENSP00000222381","PON1","PON1","paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]","ENSP"
"ENSP00000227667","APOC3","APOC3","apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]","ENSP"
"ENSP00000309757","None","None","None",""
"ENSP00000441828","HPR","HPR","haptoglobin-related protein [Source:HGNC Symbol;Acc:HGNC:5156]","ENSP"
"ENSP00000365081","APOM","APOM","apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]","ENSP"
"ENSP00000262101","MSR1","MSR1","macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]","ENSP"
"ENSP00000445002","APOA5","APOA5","apolipoprotein A5 [Source:HGNC Symbol;Acc:HGNC:17288]","ENSP"
"ENSP00000439012","DBI","DBI","diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]","ENSP"
"ENSP00000278222","SAA4","SAA4","serum amyloid A4, constitutive [Source:HGNC Symbol;Acc:HGNC:10516]","ENSP"
"ENSP00000466775","APOC2","APOC2","apolipoprotein C2 [Source:HGNC Symbol;Acc:HGNC:609]","ENSP"
"ENSP00000381250","APOF","APOF","apolipoprotein F [Source:HGNC Symbol;Acc:HGNC:615]","ENSP"
"ENSP00000356969","APOA2","APOA2","apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601]","ENSP"
"ENSP00000480821","LSR","LSR","lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]","ENSP"
"ENSP00000264005","LCAT","LCAT","lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]","ENSP"
"ENSP00000457539","APOBR","APOBR","apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]","ENSP"
"ENSP00000465356","APOC1","APOC1","apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]","ENSP"
"ENSP00000387654","PCYOX1","PCYOX1","prenylcysteine oxidase 1 [Source:HGNC Symbol;Acc:HGNC:20588]","ENSP"
"ENSP00000417138","PLTP","PLTP","phospholipid transfer protein [Source:HGNC Symbol;Acc:HGNC:9093]","ENSP"
"ENSP00000468236","APOC4","APOC4","apolipoprotein C4 [Source:HGNC Symbol;Acc:HGNC:611]","ENSP"
"ENSP00000436126","SAA2","SAA2","serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]","ENSP"
"ENSP00000274793","PLA2G7","PLA2G7","phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]","ENSP"
"ENSP00000350425","APOA4","APOA4","apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]","ENSP"
"ENSP00000316779","BIN1","BIN1","bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]","ENSP"
"ENSP00000205948","APOH","APOH","apolipoprotein H [Source:HGNC Symbol;Acc:HGNC:616]","ENSP"
"ENSP00000296350","MELTF","MELTF","melanotransferrin [Source:HGNC Symbol;Acc:HGNC:7037]","ENSP"
"ENSP00000421922","None","None","None",""
"ENSP00000298743","GAS1","GAS1","growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]","ENSP"
"ENSP00000361266","PTCH2","PTCH2","patched 2 [Source:HGNC Symbol;Acc:HGNC:9586]","ENSP"
"ENSP00000352071","CD163","CD163","CD163 molecule [Source:HGNC Symbol;Acc:HGNC:1631]","ENSP"
"ENSP00000233575","SNX17","SNX17","sorting nexin 17 [Source:HGNC Symbol;Acc:HGNC:14979]","ENSP"
"ENSP00000225275","MPO","MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]","ENSP"
"ENSP00000366267","GPC5","GPC5","glypican 5 [Source:HGNC Symbol;Acc:HGNC:4453]","ENSP"
"ENSP00000421725","GC","GC","GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]","ENSP"
"ENSP00000363868","ABCA1","ABCA1","ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]","ENSP"
"ENSP00000429969","SCUBE2","SCUBE2","signal peptide, CUB domain and EGF like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30425]","ENSP"
"ENSP00000295834","FABP1","FABP1","fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]","ENSP"
"ENSP00000373808","FAM169A","FAM169A","family with sequence similarity 169 member A [Source:HGNC Symbol;Acc:HGNC:29138]","ENSP"
"ENSP00000346537","SMOC2","SMOC2","SPARC related modular calcium binding 2 [Source:HGNC Symbol;Acc:HGNC:20323]","ENSP"
"ENSP00000460236","SPON1","SPON1","spondin 1 [Source:HGNC Symbol;Acc:HGNC:11252]","ENSP"
"ENSP00000349298","MYLIP","MYLIP","myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]","ENSP"
"ENSP00000355110","SMOC1","SMOC1","SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]","ENSP"
"ENSP00000345179","APOD","APOD","apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]","ENSP"
"ENSP00000363458","LDLRAP1","LDLRAP1","low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]","ENSP"
"ENSP00000367064","CUBN","CUBN","cubilin [Source:HGNC Symbol;Acc:HGNC:2548]","ENSP"
"ENSP00000360522","RBP4","RBP4","retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]","ENSP"
"ENSP00000292377","GPC2","GPC2","glypican 2 [Source:HGNC Symbol;Acc:HGNC:4450]","ENSP"
"ENSP00000366246","GPC6","GPC6","glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454]","ENSP"
"ENSP00000377836","GPC3","GPC3","glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]","ENSP"
"ENSP00000359864","GPC4","GPC4","glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]","ENSP"
"ENSP00000342850","SERPINA6","SERPINA6","serpin family A member 6 [Source:HGNC Symbol;Acc:HGNC:1540]","ENSP"
"ENSP00000399421","CD36","CD36","CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]","ENSP"
"ENSP00000471277","ZNF558","ZNF558","zinc finger protein 558 [Source:HGNC Symbol;Acc:HGNC:26422]","ENSP"
"ENSP00000420939","SELENOP","SELENOP","selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]","ENSP"
"ENSP00000263094","ABCA7","ABCA7","ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]","ENSP"
"ENSP00000299155","AMN","AMN","amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604]","ENSP"
"ENSP00000441726","CLUL1","CLUL1","clusterin like 1 [Source:HGNC Symbol;Acc:HGNC:2096]","ENSP"
"ENSP00000470478","None","None","None",""
"ENSP00000252490","APOC2","APOC2","apolipoprotein C2 [Source:HGNC Symbol;Acc:HGNC:609]","ENSP"
"ENSP00000257248","CBLIF","CBLIF","cobalamin binding intrinsic factor [Source:HGNC Symbol;Acc:HGNC:4268]","ENSP"
"ENSP00000480053","GPIHBP1","GPIHBP1","glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24945]","ENSP"
"ENSP00000267889","DISP2","DISP2","dispatched RND transporter family member 2 [Source:HGNC Symbol;Acc:HGNC:19712]","ENSP"
"ENSP00000294484","DISP3","DISP3","dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251]","ENSP"
"ENSP00000284476","DISP1","DISP1","dispatched RND transporter family member 1 [Source:HGNC Symbol;Acc:HGNC:19711]","ENSP"
"ENSP00000296575","HHIP","HHIP","hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]","ENSP"
"ENSP00000225969","MRPL27","MRPL27","mitochondrial ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:14483]","ENSP"
"ENSP00000259873","MRPS18B","MRPS18B","mitochondrial ribosomal protein S18B [Source:HGNC Symbol;Acc:HGNC:14516]","ENSP"
"ENSP00000461930","MRPS21","MRPS21","mitochondrial ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:14046]","ENSP"
"ENSP00000419370","MALSU1","MALSU1","mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]","ENSP"
"ENSP00000295491","MRPS18C","MRPS18C","mitochondrial ribosomal protein S18C [Source:HGNC Symbol;Acc:HGNC:16633]","ENSP"
"ENSP00000369682","MRPS26","MRPS26","mitochondrial ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:14045]","ENSP"
"ENSP00000258105","MRPL53","MRPL53","mitochondrial ribosomal protein L53 [Source:HGNC Symbol;Acc:HGNC:16684]","ENSP"
"ENSP00000357823","MRPL9","MRPL9","mitochondrial ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:14277]","ENSP"
"ENSP00000300151","MRPL16","MRPL16","mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:HGNC:14476]","ENSP"
"ENSP00000301585","MRPL58","MRPL58","mitochondrial ribosomal protein L58 [Source:HGNC Symbol;Acc:HGNC:5359]","ENSP"
"ENSP00000362036","MRPS16","MRPS16","mitochondrial ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:14048]","ENSP"
"ENSP00000306548","MRPL13","MRPL13","mitochondrial ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:14278]","ENSP"
"ENSP00000478035","None","None","None",""
"ENSP00000177742","MRPS34","MRPS34","mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:HGNC:16618]","ENSP"
"ENSP00000361206","MRPS18A","MRPS18A","mitochondrial ribosomal protein S18A [Source:HGNC Symbol;Acc:HGNC:14515]","ENSP"
"ENSP00000342676","AURKAIP1","AURKAIP1","aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]","ENSP"
"ENSP00000449884","MRPL42","MRPL42","mitochondrial ribosomal protein L42 [Source:HGNC Symbol;Acc:HGNC:14493]","ENSP"
"ENSP00000308275","MRPL38","MRPL38","mitochondrial ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:14033]","ENSP"
"ENSP00000263629","MTIF2","MTIF2","mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]","ENSP"
"ENSP00000245539","MRPS7","MRPS7","mitochondrial ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:14499]","ENSP"
"ENSP00000382250","MRPS6","MRPS6","mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051]","ENSP"
"ENSP00000272418","MRPS5","MRPS5","mitochondrial ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:14498]","ENSP"
"ENSP00000380466","MRPL23","MRPL23","mitochondrial ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10322]","ENSP"
"ENSP00000373404","MRPL2","MRPL2","mitochondrial ribosomal protein L2 [Source:HGNC Symbol;Acc:HGNC:14056]","ENSP"
"ENSP00000296102","MRPL33","MRPL33","mitochondrial ribosomal protein L33 [Source:HGNC Symbol;Acc:HGNC:14487]","ENSP"
"ENSP00000333837","MRPL12","MRPL12","mitochondrial ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10378]","ENSP"
"ENSP00000223324","MRPL32","MRPL32","mitochondrial ribosomal protein L32 [Source:HGNC Symbol;Acc:HGNC:14035]","ENSP"
"ENSP00000276585","MRPS28","MRPS28","mitochondrial ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:14513]","ENSP"
"ENSP00000362208","MRPS15","MRPS15","mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]","ENSP"
"ENSP00000253099","MRPL4","MRPL4","mitochondrial ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:14276]","ENSP"
"ENSP00000360498","MRPL41","MRPL41","mitochondrial ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:14492]","ENSP"
"ENSP00000361923","CHCHD1","CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]","ENSP"
"ENSP00000053468","MRPS10","MRPS10","mitochondrial ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:14502]","ENSP"
"ENSP00000258455","MRPS9","MRPS9","mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]","ENSP"
"ENSP00000417602","MRPL47","MRPL47","mitochondrial ribosomal protein L47 [Source:HGNC Symbol;Acc:HGNC:16652]","ENSP"
"ENSP00000341082","MRPL20","MRPL20","mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]","ENSP"
"ENSP00000377486","MRPL19","MRPL19","mitochondrial ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:14052]","ENSP"
"ENSP00000256441","MRPS36","MRPS36","mitochondrial ribosomal protein S36 [Source:HGNC Symbol;Acc:HGNC:16631]","ENSP"
"ENSP00000376732","MRPS33","MRPS33","mitochondrial ribosomal protein S33 [Source:HGNC Symbol;Acc:HGNC:16634]","ENSP"
"ENSP00000256404","PEBP4","PEBP4","phosphatidylethanolamine binding protein 4 [Source:HGNC Symbol;Acc:HGNC:28319]","ENSP"
"ENSP00000081029","MRPS35","MRPS35","mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]","ENSP"
"ENSP00000323065","GADD45GIP1","GADD45GIP1","GADD45G interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29996]","ENSP"
"ENSP00000229238","MRPL51","MRPL51","mitochondrial ribosomal protein L51 [Source:HGNC Symbol;Acc:HGNC:14044]","ENSP"
"ENSP00000310726","MRPL57","MRPL57","mitochondrial ribosomal protein L57 [Source:HGNC Symbol;Acc:HGNC:14514]","ENSP"
"ENSP00000431040","MRPL22","MRPL22","mitochondrial ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:14480]","ENSP"
"ENSP00000317376","MRPS11","MRPS11","mitochondrial ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:14050]","ENSP"
"ENSP00000285298","MRPS17","MRPS17","mitochondrial ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:14047]","ENSP"
"ENSP00000216254","ACO2","ACO2","aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]","ENSP"
"ENSP00000403614","MRPL55","MRPL55","mitochondrial ribosomal protein L55 [Source:HGNC Symbol;Acc:HGNC:16686]","ENSP"
"ENSP00000288937","MRPL17","MRPL17","mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:14053]","ENSP"
"ENSP00000339844","MRPL43","MRPL43","mitochondrial ribosomal protein L43 [Source:HGNC Symbol;Acc:HGNC:14517]","ENSP"
"ENSP00000352706","HIBCH","HIBCH","3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]","ENSP"
"ENSP00000258383","MRPL44","MRPL44","mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650]","ENSP"
"ENSP00000253686","MRPS25","MRPS25","mitochondrial ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:14511]","ENSP"
"ENSP00000418008","MRPS22","MRPS22","mitochondrial ribosomal protein S22 [Source:HGNC Symbol;Acc:HGNC:14508]","ENSP"
"ENSP00000264995","MRPL3","MRPL3","mitochondrial ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10379]","ENSP"
"ENSP00000419038","GFM1","GFM1","G elongation factor mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:13780]","ENSP"
"ENSP00000446252","SOD2","SOD2","superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]","ENSP"
"ENSP00000333401","MRPL40","MRPL40","mitochondrial ribosomal protein L40 [Source:HGNC Symbol;Acc:HGNC:14491]","ENSP"
"ENSP00000343867","MRRF","MRRF","mitochondrial ribosome recycling factor [Source:HGNC Symbol;Acc:HGNC:7234]","ENSP"
"ENSP00000384952","MRPS12","MRPS12","mitochondrial ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10380]","ENSP"
"ENSP00000354580","MRPL21","MRPL21","mitochondrial ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:14479]","ENSP"
"ENSP00000308717","MRPL48","MRPL48","mitochondrial ribosomal protein L48 [Source:HGNC Symbol;Acc:HGNC:16653]","ENSP"
"ENSP00000331849","MRPL54","MRPL54","mitochondrial ribosomal protein L54 [Source:HGNC Symbol;Acc:HGNC:16685]","ENSP"
"ENSP00000290208","MRPL10","MRPL10","mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]","ENSP"
"ENSP00000363999","MRPL50","MRPL50","mitochondrial ribosomal protein L50 [Source:HGNC Symbol;Acc:HGNC:16654]","ENSP"
"ENSP00000315397","MRPS31","MRPS31","mitochondrial ribosomal protein S31 [Source:HGNC Symbol;Acc:HGNC:16632]","ENSP"
"ENSP00000354525","MRPL24","MRPL24","mitochondrial ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:14037]","ENSP"
"ENSP00000320184","MRPS23","MRPS23","mitochondrial ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:14509]","ENSP"
"ENSP00000356001","MRPL18","MRPL18","mitochondrial ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:14477]","ENSP"
"ENSP00000315017","MRPL1","MRPL1","mitochondrial ribosomal protein L1 [Source:HGNC Symbol;Acc:HGNC:14275]","ENSP"
"ENSP00000279242","MRPL49","MRPL49","mitochondrial ribosomal protein L49 [Source:HGNC Symbol;Acc:HGNC:1176]","ENSP"
"ENSP00000424328","MRPS30","MRPS30","mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]","ENSP"
"ENSP00000484903","MRPL45","MRPL45","mitochondrial ribosomal protein L45 [Source:HGNC Symbol;Acc:HGNC:16651]","ENSP"
"ENSP00000347277","MRPL52","MRPL52","mitochondrial ribosomal protein L52 [Source:HGNC Symbol;Acc:HGNC:16655]","ENSP"
"ENSP00000261313","PEBP1","PEBP1","phosphatidylethanolamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8630]","ENSP"
"ENSP00000357320","DAP3","DAP3","death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]","ENSP"
"ENSP00000426941","MRPS27","MRPS27","mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512]","ENSP"
"ENSP00000252602","MRPL34","MRPL34","mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488]","ENSP"
"ENSP00000318158","MRPS24","MRPS24","mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:14510]","ENSP"
"ENSP00000483491","OXA1L","OXA1L","OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]","ENSP"
"ENSP00000354086","MRPL37","MRPL37","mitochondrial ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:14034]","ENSP"
"ENSP00000370508","MTIF3","MTIF3","mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:HGNC:29788]","ENSP"
"ENSP00000199706","MRPL28","MRPL28","mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]","ENSP"
"ENSP00000338057","MRPL30","MRPL30","mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036]","ENSP"
"ENSP00000360850","MRPS2","MRPS2","mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:14495]","ENSP"
"ENSP00000254928","ERAL1","ERAL1","Era like 12S mitochondrial rRNA chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3424]","ENSP"
"ENSP00000254630","PTCD3","PTCD3","pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717]","ENSP"
"ENSP00000361084","MRPL14","MRPL14","mitochondrial ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:14279]","ENSP"
"ENSP00000308897","MRPL11","MRPL11","mitochondrial ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:14042]","ENSP"
"ENSP00000338389","MRPL35","MRPL35","mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:14489]","ENSP"
"ENSP00000420714","MRPS14","MRPS14","mitochondrial ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:14049]","ENSP"
"ENSP00000390331","None","None","None",""
"ENSP00000423399","MRPL36","MRPL36","mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490]","ENSP"
"ENSP00000305682","MRPL39","MRPL39","mitochondrial ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:14027]","ENSP"
"ENSP00000260102","MRPL15","MRPL15","mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]","ENSP"
"ENSP00000312311","MRPL46","MRPL46","mitochondrial ribosomal protein L46 [Source:HGNC Symbol;Acc:HGNC:1192]","ENSP"
"ENSP00000005226","USH1C","USH1C","USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]","ENSP"
"ENSP00000261769","CDH1","CDH1","cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]","ENSP"
"ENSP00000373487","KRT18","KRT18","keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]","ENSP"
"ENSP00000257192","DSG1","DSG1","desmoglein 1 [Source:HGNC Symbol;Acc:HGNC:3048]","ENSP"
"ENSP00000305941","USH2A","USH2A","usherin [Source:HGNC Symbol;Acc:HGNC:12601]","ENSP"
"ENSP00000363068","PCDH15","PCDH15","protocadherin related 15 [Source:HGNC Symbol;Acc:HGNC:14674]","ENSP"
"ENSP00000386331","MYO7A","MYO7A","myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606]","ENSP"
"ENSP00000415090","MYO7B","MYO7B","myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]","ENSP"
"ENSP00000424565","CDHR2","CDHR2","cadherin related family member 2 [Source:HGNC Symbol;Acc:HGNC:18231]","ENSP"
"ENSP00000299441","DCHS1","DCHS1","dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681]","ENSP"
"ENSP00000384582","ADGRV1","ADGRV1","adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]","ENSP"
"ENSP00000410083","VEZT","VEZT","vezatin, adherens junctions transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18258]","ENSP"
"ENSP00000381768","CDH23","CDH23","cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]","ENSP"
"ENSP00000308772","ANKS4B","ANKS4B","ankyrin repeat and sterile alpha motif domain containing 4B [Source:HGNC Symbol;Acc:HGNC:26795]","ENSP"
"ENSP00000485514","None","None","None",""
"ENSP00000205890","None","None","None",""
"ENSP00000351118","CDHR5","CDHR5","cadherin related family member 5 [Source:HGNC Symbol;Acc:HGNC:7521]","ENSP"
"ENSP00000377862","FAT4","FAT4","FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]","ENSP"
"ENSP00000426632","ERBIN","ERBIN","erbb2 interacting protein [Source:HGNC Symbol;Acc:HGNC:15842]","ENSP"
"ENSP00000480489","PDZD7","PDZD7","PDZ domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26257]","ENSP"
"ENSP00000480279","USH1G","USH1G","USH1 protein network component sans [Source:HGNC Symbol;Acc:HGNC:16356]","ENSP"
"ENSP00000354623","WHRN","WHRN","whirlin [Source:HGNC Symbol;Acc:HGNC:16361]","ENSP"
