"initial_alias","converted_alias","name","description","namespace"
"ENSG00000174173","TRMT10C","TRMT10C","tRNA methyltransferase 10C, mitochondrial RNase P subunit [Source:HGNC Symbol;Acc:HGNC:26022]","ARRAYEXPRESS,ENSG"
"ENSG00000104980","TIMM44","TIMM44","translocase of inner mitochondrial membrane 44 [Source:HGNC Symbol;Acc:HGNC:17316]","ARRAYEXPRESS,ENSG"
"ENSG00000115419","GLS","GLS","glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]","ARRAYEXPRESS,ENSG"
"ENSG00000132463","GRSF1","GRSF1","G-rich RNA sequence binding factor 1 [Source:HGNC Symbol;Acc:HGNC:4610]","ARRAYEXPRESS,ENSG"
"ENSG00000172171","TEFM","TEFM","transcription elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26223]","ARRAYEXPRESS,ENSG"
"ENSG00000112031","MTRF1L","MTRF1L","mitochondrial translation release factor 1 like [Source:HGNC Symbol;Acc:HGNC:21051]","ARRAYEXPRESS,ENSG"
"ENSG00000113048","MRPS27","MRPS27","mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512]","ARRAYEXPRESS,ENSG"
"ENSG00000036473","OTC","OTC","ornithine transcarbamylase [Source:HGNC Symbol;Acc:HGNC:8512]","ARRAYEXPRESS,ENSG"
"ENSG00000139428","MMAB","MMAB","metabolism of cobalamin associated B [Source:HGNC Symbol;Acc:HGNC:19331]","ARRAYEXPRESS,ENSG"
"ENSG00000175110","MRPS22","MRPS22","mitochondrial ribosomal protein S22 [Source:HGNC Symbol;Acc:HGNC:14508]","ARRAYEXPRESS,ENSG"
"ENSG00000181991","MRPS11","MRPS11","mitochondrial ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:14050]","ARRAYEXPRESS,ENSG"
"ENSG00000182199","SHMT2","SHMT2","serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]","ARRAYEXPRESS,ENSG"
"ENSG00000244005","NFS1","NFS1","NFS1 cysteine desulfurase [Source:HGNC Symbol;Acc:HGNC:15910]","ARRAYEXPRESS,ENSG"
"ENSG00000140374","ETFA","ETFA","electron transfer flavoprotein subunit alpha [Source:HGNC Symbol;Acc:HGNC:3481]","ARRAYEXPRESS,ENSG"
"ENSG00000181610","MRPS23","MRPS23","mitochondrial ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:14509]","ARRAYEXPRESS,ENSG"
"ENSG00000118246","FASTKD2","FASTKD2","FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160]","ARRAYEXPRESS,ENSG"
"ENSG00000125901","MRPS26","MRPS26","mitochondrial ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:14045]","ARRAYEXPRESS,ENSG"
"ENSG00000090263","MRPS33","MRPS33","mitochondrial ribosomal protein S33 [Source:HGNC Symbol;Acc:HGNC:16634]","ARRAYEXPRESS,ENSG"
"ENSG00000102763","VWA8","VWA8","von Willebrand factor A domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29071]","ARRAYEXPRESS,ENSG"
"ENSG00000182810","DDX28","DDX28","DEAD-box helicase 28 [Source:HGNC Symbol;Acc:HGNC:17330]","ARRAYEXPRESS,ENSG"
"ENSG00000125445","MRPS7","MRPS7","mitochondrial ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:14499]","ARRAYEXPRESS,ENSG"
"ENSG00000160194","NDUFV3","NDUFV3","NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]","ARRAYEXPRESS,ENSG"
"ENSG00000123472","ATPAF1","ATPAF1","ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]","ARRAYEXPRESS,ENSG"
"ENSG00000062582","MRPS24","MRPS24","mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:14510]","ARRAYEXPRESS,ENSG"
"ENSG00000116898","MRPS15","MRPS15","mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]","ARRAYEXPRESS,ENSG"
"ENSG00000163319","MRPS18C","MRPS18C","mitochondrial ribosomal protein S18C [Source:HGNC Symbol;Acc:HGNC:16633]","ARRAYEXPRESS,ENSG"
"ENSG00000172586","CHCHD1","CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]","ARRAYEXPRESS,ENSG"
"ENSG00000183010","PYCR1","PYCR1","pyrroline-5-carboxylate reductase 1 [Source:HGNC Symbol;Acc:HGNC:9721]","ARRAYEXPRESS,ENSG"
"ENSG00000155906","RMND1","RMND1","required for meiotic nuclear division 1 homolog [Source:HGNC Symbol;Acc:HGNC:21176]","ARRAYEXPRESS,ENSG"
"ENSG00000165526","RPUSD4","RPUSD4","RNA pseudouridine synthase D4 [Source:HGNC Symbol;Acc:HGNC:25898]","ARRAYEXPRESS,ENSG"
"ENSG00000175756","AURKAIP1","AURKAIP1","aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]","ARRAYEXPRESS,ENSG"
"ENSG00000168924","LETM1","LETM1","leucine zipper and EF-hand containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6556]","ARRAYEXPRESS,ENSG"
"ENSG00000156469","MTERF3","MTERF3","mitochondrial transcription termination factor 3 [Source:HGNC Symbol;Acc:HGNC:24258]","ARRAYEXPRESS,ENSG"
"ENSG00000138095","LRPPRC","LRPPRC","leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]","ARRAYEXPRESS,ENSG"
"ENSG00000136463","TACO1","TACO1","translational activator of cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:24316]","ARRAYEXPRESS,ENSG"
"ENSG00000144029","MRPS5","MRPS5","mitochondrial ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:14498]","ARRAYEXPRESS,ENSG"
"ENSG00000137500","CCDC90B","CCDC90B","coiled-coil domain containing 90B [Source:HGNC Symbol;Acc:HGNC:28108]","ARRAYEXPRESS,ENSG"
"ENSG00000119673","ACOT2","ACOT2","acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431]","ARRAYEXPRESS,ENSG"
"ENSG00000067704","IARS2","IARS2","isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]","ARRAYEXPRESS,ENSG"
"ENSG00000081177","EXD2","EXD2","exonuclease 3'-5' domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20217]","ARRAYEXPRESS,ENSG"
"ENSG00000108064","TFAM","TFAM","transcription factor A, mitochondrial [Source:HGNC Symbol;Acc:HGNC:11741]","ARRAYEXPRESS,ENSG"
"ENSG00000148672","GLUD1","GLUD1","glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]","ARRAYEXPRESS,ENSG"
"ENSG00000135972","MRPS9","MRPS9","mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]","ARRAYEXPRESS,ENSG"
"ENSG00000099821","POLRMT","POLRMT","RNA polymerase mitochondrial [Source:HGNC Symbol;Acc:HGNC:9200]","ARRAYEXPRESS,ENSG"
"ENSG00000156026","MCU","MCU","mitochondrial calcium uniporter [Source:HGNC Symbol;Acc:HGNC:23526]","ARRAYEXPRESS,ENSG"
"ENSG00000103707","MTFMT","MTFMT","mitochondrial methionyl-tRNA formyltransferase [Source:HGNC Symbol;Acc:HGNC:29666]","ARRAYEXPRESS,ENSG"
"ENSG00000120333","MRPS14","MRPS14","mitochondrial ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:14049]","ARRAYEXPRESS,ENSG"
"ENSG00000132676","DAP3","DAP3","death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]","ARRAYEXPRESS,ENSG"
"ENSG00000132153","DHX30","DHX30","DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716]","ARRAYEXPRESS,ENSG"
"ENSG00000074071","MRPS34","MRPS34","mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:HGNC:16618]","ARRAYEXPRESS,ENSG"
"ENSG00000164182","NDUFAF2","NDUFAF2","NADH:ubiquinone oxidoreductase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:28086]","ARRAYEXPRESS,ENSG"
"ENSG00000006744","ELAC2","ELAC2","elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]","ARRAYEXPRESS,ENSG"
"ENSG00000168827","GFM1","GFM1","G elongation factor mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:13780]","ARRAYEXPRESS,ENSG"
"ENSG00000074582","BCS1L","BCS1L","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]","ARRAYEXPRESS,ENSG"
"ENSG00000023330","ALAS1","ALAS1","5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]","ARRAYEXPRESS,ENSG"
"ENSG00000102738","MRPS31","MRPS31","mitochondrial ribosomal protein S31 [Source:HGNC Symbol;Acc:HGNC:16632]","ARRAYEXPRESS,ENSG"
"ENSG00000050393","MCUR1","MCUR1","mitochondrial calcium uniporter regulator 1 [Source:HGNC Symbol;Acc:HGNC:21097]","ARRAYEXPRESS,ENSG"
"ENSG00000004809","SLC22A16","SLC22A16","solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]","ARRAYEXPRESS,ENSG"
"ENSG00000197296","FITM2","FITM2","fat storage inducing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16135]","ARRAYEXPRESS,ENSG"
"ENSG00000108639","SYNGR2","SYNGR2","synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]","ARRAYEXPRESS,ENSG"
"ENSG00000198018","ENTPD7","ENTPD7","ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]","ARRAYEXPRESS,ENSG"
"ENSG00000111897","SERINC1","SERINC1","serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]","ARRAYEXPRESS,ENSG"
"ENSG00000171860","C3AR1","C3AR1","complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]","ARRAYEXPRESS,ENSG"
"ENSG00000023041","ZDHHC6","ZDHHC6","zinc finger DHHC-type palmitoyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:19160]","ARRAYEXPRESS,ENSG"
"ENSG00000172954","LCLAT1","LCLAT1","lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]","ARRAYEXPRESS,ENSG"
"ENSG00000085998","POMGNT1","POMGNT1","protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:HGNC Symbol;Acc:HGNC:19139]","ARRAYEXPRESS,ENSG"
"ENSG00000143570","SLC39A1","SLC39A1","solute carrier family 39 member 1 [Source:HGNC Symbol;Acc:HGNC:12876]","ARRAYEXPRESS,ENSG"
"ENSG00000151617","EDNRA","EDNRA","endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]","ARRAYEXPRESS,ENSG"
"ENSG00000147246","HTR2C","HTR2C","5-hydroxytryptamine receptor 2C [Source:HGNC Symbol;Acc:HGNC:5295]","ARRAYEXPRESS,ENSG"
"ENSG00000158850","B4GALT3","B4GALT3","beta-1,4-galactosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:926]","ARRAYEXPRESS,ENSG"
"ENSG00000184857","TMEM186","TMEM186","transmembrane protein 186 [Source:HGNC Symbol;Acc:HGNC:24530]","ARRAYEXPRESS,ENSG"
"ENSG00000185900","POMK","POMK","protein O-mannose kinase [Source:HGNC Symbol;Acc:HGNC:26267]","ARRAYEXPRESS,ENSG"
"ENSG00000184992","BRI3BP","BRI3BP","BRI3 binding protein [Source:HGNC Symbol;Acc:HGNC:14251]","ARRAYEXPRESS,ENSG"
"ENSG00000157837","SPPL3","SPPL3","signal peptide peptidase like 3 [Source:HGNC Symbol;Acc:HGNC:30424]","ARRAYEXPRESS,ENSG"
"ENSG00000058668","ATP2B4","ATP2B4","ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]","ARRAYEXPRESS,ENSG"
"ENSG00000144891","AGTR1","AGTR1","angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]","ARRAYEXPRESS,ENSG"
"ENSG00000109929","SC5D","SC5D","sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]","ARRAYEXPRESS,ENSG"
"ENSG00000125648","SLC25A23","SLC25A23","solute carrier family 25 member 23 [Source:HGNC Symbol;Acc:HGNC:19375]","ARRAYEXPRESS,ENSG"
"ENSG00000144567","RETREG2","RETREG2","reticulophagy regulator family member 2 [Source:HGNC Symbol;Acc:HGNC:28450]","ARRAYEXPRESS,ENSG"
"ENSG00000168785","TSPAN5","TSPAN5","tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]","ARRAYEXPRESS,ENSG"
"ENSG00000170412","GPRC5C","GPRC5C","G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]","ARRAYEXPRESS,ENSG"
"ENSG00000196187","TMEM63A","TMEM63A","transmembrane protein 63A [Source:HGNC Symbol;Acc:HGNC:29118]","ARRAYEXPRESS,ENSG"
"ENSG00000165678","GHITM","GHITM","growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]","ARRAYEXPRESS,ENSG"
"ENSG00000146411","SLC2A12","SLC2A12","solute carrier family 2 member 12 [Source:HGNC Symbol;Acc:HGNC:18067]","ARRAYEXPRESS,ENSG"
"ENSG00000115353","TACR1","TACR1","tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526]","ARRAYEXPRESS,ENSG"
"ENSG00000163933","RFT1","RFT1","RFT1 homolog [Source:HGNC Symbol;Acc:HGNC:30220]","ARRAYEXPRESS,ENSG"
"ENSG00000105983","LMBR1","LMBR1","limb development membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13243]","ARRAYEXPRESS,ENSG"
"ENSG00000149742","SLC22A9","SLC22A9","solute carrier family 22 member 9 [Source:HGNC Symbol;Acc:HGNC:16261]","ARRAYEXPRESS,ENSG"
"ENSG00000150625","GPM6A","GPM6A","glycoprotein M6A [Source:HGNC Symbol;Acc:HGNC:4460]","ARRAYEXPRESS,ENSG"
"ENSG00000134817","APLNR","APLNR","apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]","ARRAYEXPRESS,ENSG"
"ENSG00000203737","GPR52","GPR52","G protein-coupled receptor 52 [Source:HGNC Symbol;Acc:HGNC:4508]","ARRAYEXPRESS,ENSG"
"ENSG00000163624","CDS1","CDS1","CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]","ARRAYEXPRESS,ENSG"
"ENSG00000124532","MRS2","MRS2","magnesium transporter MRS2 [Source:HGNC Symbol;Acc:HGNC:13785]","ARRAYEXPRESS,ENSG"
"ENSG00000126010","GRPR","GRPR","gastrin releasing peptide receptor [Source:HGNC Symbol;Acc:HGNC:4609]","ARRAYEXPRESS,ENSG"
"ENSG00000117479","SLC19A2","SLC19A2","solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]","ARRAYEXPRESS,ENSG"
"ENSG00000159063","ALG8","ALG8","ALG8 alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23161]","ARRAYEXPRESS,ENSG"
"ENSG00000102195","GPR50","GPR50","G protein-coupled receptor 50 [Source:HGNC Symbol;Acc:HGNC:4506]","ARRAYEXPRESS,ENSG"
"ENSG00000106018","VIPR2","VIPR2","vasoactive intestinal peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:12695]","ARRAYEXPRESS,ENSG"
"ENSG00000005206","SPPL2B","SPPL2B","signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]","ARRAYEXPRESS,ENSG"
"ENSG00000198792","TMEM184B","TMEM184B","transmembrane protein 184B [Source:HGNC Symbol;Acc:HGNC:1310]","ARRAYEXPRESS,ENSG"
"ENSG00000067842","ATP2B3","ATP2B3","ATPase plasma membrane Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:816]","ARRAYEXPRESS,ENSG"
"ENSG00000169313","P2RY12","P2RY12","purinergic receptor P2Y12 [Source:HGNC Symbol;Acc:HGNC:18124]","ARRAYEXPRESS,ENSG"
"ENSG00000139133","ALG10","ALG10","ALG10 alpha-1,2-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23162]","ARRAYEXPRESS,ENSG"
"ENSG00000197901","SLC22A6","SLC22A6","solute carrier family 22 member 6 [Source:HGNC Symbol;Acc:HGNC:10970]","ARRAYEXPRESS,ENSG"
"ENSG00000167191","GPRC5B","GPRC5B","G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308]","ARRAYEXPRESS,ENSG"
"ENSG00000163870","TPRA1","TPRA1","transmembrane protein adipocyte associated 1 [Source:HGNC Symbol;Acc:HGNC:30413]","ARRAYEXPRESS,ENSG"
"ENSG00000111684","LPCAT3","LPCAT3","lysophosphatidylcholine acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30244]","ARRAYEXPRESS,ENSG"
"ENSG00000066455","GOLGA5","GOLGA5","golgin A5 [Source:HGNC Symbol;Acc:HGNC:4428]","ARRAYEXPRESS,ENSG"
"ENSG00000164180","TMEM161B","TMEM161B","transmembrane protein 161B [Source:HGNC Symbol;Acc:HGNC:28483]","ARRAYEXPRESS,ENSG"
"ENSG00000175106","TVP23C","TVP23C","trans-golgi network vesicle protein 23 homolog C [Source:HGNC Symbol;Acc:HGNC:30453]","ARRAYEXPRESS,ENSG"
"ENSG00000075673","ATP12A","ATP12A","ATPase H+/K+ transporting non-gastric alpha2 subunit [Source:HGNC Symbol;Acc:HGNC:13816]","ARRAYEXPRESS,ENSG"
"ENSG00000100196","KDELR3","KDELR3","KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]","ARRAYEXPRESS,ENSG"
"ENSG00000197977","ELOVL2","ELOVL2","ELOVL fatty acid elongase 2 [Source:HGNC Symbol;Acc:HGNC:14416]","ARRAYEXPRESS,ENSG"
"ENSG00000171049","FPR2","FPR2","formyl peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:3827]","ARRAYEXPRESS,ENSG"
"ENSG00000157111","TMEM171","TMEM171","transmembrane protein 171 [Source:HGNC Symbol;Acc:HGNC:27031]","ARRAYEXPRESS,ENSG"
"ENSG00000003989","SLC7A2","SLC7A2","solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]","ARRAYEXPRESS,ENSG"
"ENSG00000137207","YIPF3","YIPF3","Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023]","ARRAYEXPRESS,ENSG"
"ENSG00000139679","LPAR6","LPAR6","lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520]","ARRAYEXPRESS,ENSG"
"ENSG00000198121","LPAR1","LPAR1","lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]","ARRAYEXPRESS,ENSG"
"ENSG00000168077","SCARA3","SCARA3","scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]","ARRAYEXPRESS,ENSG"
"ENSG00000157600","TMEM164","TMEM164","transmembrane protein 164 [Source:HGNC Symbol;Acc:HGNC:26217]","ARRAYEXPRESS,ENSG"
"ENSG00000054793","ATP9A","ATP9A","ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]","ARRAYEXPRESS,ENSG"
"ENSG00000119787","ATL2","ATL2","atlastin GTPase 2 [Source:HGNC Symbol;Acc:HGNC:24047]","ARRAYEXPRESS,ENSG"
"ENSG00000050426","LETMD1","LETMD1","LETM1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24241]","ARRAYEXPRESS,ENSG"
"ENSG00000172292","CERS6","CERS6","ceramide synthase 6 [Source:HGNC Symbol;Acc:HGNC:23826]","ARRAYEXPRESS,ENSG"
"ENSG00000155659","VSIG4","VSIG4","V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]","ARRAYEXPRESS,ENSG"
"ENSG00000196715","VKORC1L1","VKORC1L1","vitamin K epoxide reductase complex subunit 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21492]","ARRAYEXPRESS,ENSG"
"ENSG00000123146","ADGRE5","ADGRE5","adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711]","ARRAYEXPRESS,ENSG"
"ENSG00000127080","IPPK","IPPK","inositol-pentakisphosphate 2-kinase [Source:HGNC Symbol;Acc:HGNC:14645]","ARRAYEXPRESS,ENSG"
"ENSG00000111666","CHPT1","CHPT1","choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]","ARRAYEXPRESS,ENSG"
"ENSG00000160216","AGPAT3","AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]","ARRAYEXPRESS,ENSG"
"ENSG00000114812","VIPR1","VIPR1","vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]","ARRAYEXPRESS,ENSG"
"ENSG00000176894","PXMP2","PXMP2","peroxisomal membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:9716]","ARRAYEXPRESS,ENSG"
"ENSG00000198743","SLC5A3","SLC5A3","solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038]","ARRAYEXPRESS,ENSG"
"ENSG00000099282","TSPAN15","TSPAN15","tetraspanin 15 [Source:HGNC Symbol;Acc:HGNC:23298]","ARRAYEXPRESS,ENSG"
"ENSG00000197563","PIGN","PIGN","phosphatidylinositol glycan anchor biosynthesis class N [Source:HGNC Symbol;Acc:HGNC:8967]","ARRAYEXPRESS,ENSG"
"ENSG00000164187","LMBRD2","LMBRD2","LMBR1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25287]","ARRAYEXPRESS,ENSG"
