module	monet_type	experiment_info	function_summary	term_id_GO_BP	term_id_REAC	term_id_KEGG	goslim_pir	genes
50	M1	e019_M1	axon guidance / Axon guidance / Regulation of commissural axon pathfinding by SLIT and ROBO	GO:0007411	REAC:R-HSA-428542	KEGG:04360	GO:0032989	ENSP00000304945;ENSP00000332773;ENSP00000420321;ENSP00000380903;ENSP00000417335;ENSP00000252597;ENSP00000173229;ENSP00000341198;ENSP00000389140;ENSP00000359085;ENSP00000334329;ENSP00000240874;ENSP00000339299;ENSP00000393511;ENSP00000277895;ENSP00000425394;ENSP00000266058;ENSP00000373937;ENSP00000383303;ENSP00000332164;ENSP00000319623;ENSP00000422591;ENSP00000297267;ENSP00000294485;ENSP00000449241;ENSP00000385143;ENSP00000355613;ENSP00000376421;ENSP00000316809;ENSP00000406022;ENSP00000298355;ENSP00000315465;ENSP00000332737;ENSP00000278198;ENSP00000249363;ENSP00000258975;ENSP00000366522;ENSP00000416341;ENSP00000369921;ENSP00000294360;ENSP00000283426;ENSP00000440374;ENSP00000298925;ENSP00000464145;ENSP00000282041;ENSP00000376921;ENSP00000293973;ENSP00000270235;ENSP00000367173;ENSP00000286744;ENSP00000328118;ENSP00000311436;ENSP00000440396;ENSP00000279024
51	M1	e019_M1	G protein-coupled receptor signaling pathway / Morphine addiction / Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	GO:0007186	REAC:R-HSA-997272	KEGG:05032	GO:0050789;GO:0051606;GO:0006811;GO:0007154	ENSP00000334448;ENSP00000480573;ENSP00000360255;ENSP00000321326;ENSP00000477437;ENSP00000259455;ENSP00000291294;ENSP00000363411;ENSP00000366233;ENSP00000394624;ENSP00000358967;ENSP00000248572;ENSP00000280155;ENSP00000296641;ENSP00000304501;ENSP00000261837;ENSP00000296271;ENSP00000440185;ENSP00000305260;ENSP00000248076;ENSP00000371594;ENSP00000243457;ENSP00000314992;ENSP00000463778;ENSP00000304767;ENSP00000248150;ENSP00000357067;ENSP00000357068;ENSP00000232564;ENSP00000295101;ENSP00000359675;ENSP00000307259;ENSP00000393333;ENSP00000369960;ENSP00000352427;ENSP00000331698;ENSP00000368766;ENSP00000248564;ENSP00000384092;ENSP00000251337;ENSP00000481878;ENSP00000229264;ENSP00000249389;ENSP00000465295;ENSP00000294117;ENSP00000426022;ENSP00000232461;ENSP00000306497;ENSP00000360021;ENSP00000386069;ENSP00000300873;ENSP00000375727;ENSP00000433295;ENSP00000355512
52	M1	e019_M1	proteasomal protein catabolic process / Protein processing in endoplasmic reticulum	GO:0010498	NA	KEGG:04141	GO:0009057;GO:0050896;GO:0006508	ENSP00000220669;ENSP00000259050;ENSP00000307900;ENSP00000166345;ENSP00000382507;ENSP00000301281;ENSP00000418529;ENSP00000314619;ENSP00000272638;ENSP00000261893;ENSP00000354775;ENSP00000411848;ENSP00000479216;ENSP00000273067;ENSP00000371577;ENSP00000333181;ENSP00000351777;ENSP00000333836;ENSP00000384832;ENSP00000482032;ENSP00000326813;ENSP00000343001;ENSP00000289528;ENSP00000263346;ENSP00000294119;ENSP00000217740;ENSP00000266643;ENSP00000471536;ENSP00000383719;ENSP00000380460;ENSP00000407213;ENSP00000274008;ENSP00000375914;ENSP00000410811;ENSP00000309141;ENSP00000261942;ENSP00000280700;ENSP00000379457;ENSP00000387362;ENSP00000346130;ENSP00000482119;ENSP00000463080;ENSP00000305494;ENSP00000263202;ENSP00000309031;ENSP00000306625;ENSP00000427223;ENSP00000339017;ENSP00000379201;ENSP00000372394;ENSP00000363339;ENSP00000312107;ENSP00000331487;ENSP00000217173
53	M1	e019_M1	pigment granule transport / BBSome-mediated cargo-targeting to cilium	GO:0051904	REAC:R-HSA-5620922	NA	GO:0006810;GO:0006996;GO:0051640;GO:0022607	ENSP00000317469;ENSP00000470383;ENSP00000242067;ENSP00000220676;ENSP00000245157;ENSP00000408236;ENSP00000417182;ENSP00000340935;ENSP00000377280;ENSP00000297044;ENSP00000295240;ENSP00000398526;ENSP00000264499;ENSP00000482306;ENSP00000361634;ENSP00000480971;ENSP00000325836;ENSP00000249373;ENSP00000358293;ENSP00000339754;ENSP00000354398;ENSP00000323847;ENSP00000231524;ENSP00000308496;ENSP00000380635;ENSP00000282026;ENSP00000268057;ENSP00000413017;ENSP00000295087;ENSP00000304440;ENSP00000306991;ENSP00000222115;ENSP00000337722;ENSP00000322628;ENSP00000269586;ENSP00000366487;ENSP00000353210;ENSP00000379898;ENSP00000443189;ENSP00000245796;ENSP00000397598;ENSP00000249016;ENSP00000433157;ENSP00000334379;ENSP00000296135;ENSP00000394751;ENSP00000342560;ENSP00000332225;ENSP00000290871;ENSP00000281806;ENSP00000264192;ENSP00000381549;ENSP00000350032
54	M1	e019_M1	endoplasmic reticulum to Golgi vesicle-mediated transport / COPII-mediated vesicle transport	GO:0006888	REAC:R-HSA-204005	NA	GO:0016192;GO:0051641;GO:0016050;GO:0061024	ENSP00000358071;ENSP00000310431;ENSP00000386651;ENSP00000280551;ENSP00000303366;ENSP00000251047;ENSP00000356771;ENSP00000306881;ENSP00000324318;ENSP00000469888;ENSP00000362339;ENSP00000301021;ENSP00000217131;ENSP00000377284;ENSP00000227266;ENSP00000264454;ENSP00000295400;ENSP00000359370;ENSP00000385432;ENSP00000332371;ENSP00000330289;ENSP00000373979;ENSP00000310521;ENSP00000006275;ENSP00000240851;ENSP00000378721;ENSP00000291574;ENSP00000480332;ENSP00000381823;ENSP00000313869;ENSP00000373312;ENSP00000308339;ENSP00000392495;ENSP00000353393;ENSP00000338844;ENSP00000416097;ENSP00000310003;ENSP00000428564;ENSP00000302783;ENSP00000436005;ENSP00000216416;ENSP00000409231;ENSP00000366280;ENSP00000357591;ENSP00000343405;ENSP00000379097;ENSP00000379191;ENSP00000283351;ENSP00000325827;ENSP00000470262;ENSP00000416066;ENSP00000335371;ENSP00000272133
55	M1	e019_M1	glutathione metabolic process / Glutathione metabolism / Glutathione conjugation	GO:0006749	REAC:R-HSA-156590	KEGG:00480	GO:0006805;GO:0006082;GO:0006066;GO:0042445;GO:0044255;GO:0050896;GO:0006091	ENSP00000209668;ENSP00000383232;ENSP00000335620;ENSP00000426083;ENSP00000295256;ENSP00000340684;ENSP00000256593;ENSP00000423822;ENSP00000216465;ENSP00000354581;ENSP00000332679;ENSP00000221130;ENSP00000374265;ENSP00000241337;ENSP00000255084;ENSP00000392398;ENSP00000420269;ENSP00000211122;ENSP00000216951;ENSP00000354677;ENSP00000381340;ENSP00000373477;ENSP00000482639;ENSP00000411821;ENSP00000420168;ENSP00000333534;ENSP00000478561;ENSP00000290765;ENSP00000265512;ENSP00000345023;ENSP00000346103;ENSP00000480004;ENSP00000360028;ENSP00000398105;ENSP00000256594;ENSP00000360002;ENSP00000295304;ENSP00000379512;ENSP00000381607;ENSP00000360688;ENSP00000338964;ENSP00000306606;ENSP00000356864;ENSP00000370962;ENSP00000367309;ENSP00000407375;ENSP00000473990;ENSP00000358851;ENSP00000378359;ENSP00000311469;ENSP00000342026;ENSP00000358727;ENSP00000296412
56	M1	e019_M1	response to molecule of bacterial origin / Toll-like receptor signaling pathway / Diseases of Immune System	GO:0002237	REAC:R-HSA-5260271	KEGG:04620	GO:0065009;GO:0050789;GO:0001816;GO:0044419;GO:0002376;GO:0050896	ENSP00000248244;ENSP00000357727;ENSP00000401502;ENSP00000376896;ENSP00000358997;ENSP00000369286;ENSP00000314733;ENSP00000357722;ENSP00000302569;ENSP00000468032;ENSP00000370842;ENSP00000401399;ENSP00000351789;ENSP00000259206;ENSP00000233057;ENSP00000267460;ENSP00000227471;ENSP00000363089;ENSP00000259213;ENSP00000312082;ENSP00000260010;ENSP00000259211;ENSP00000413861;ENSP00000308925;ENSP00000386380;ENSP00000403104;ENSP00000479256;ENSP00000440643;ENSP00000304236;ENSP00000417517;ENSP00000263341;ENSP00000256447;ENSP00000361926;ENSP00000314807;ENSP00000376893;ENSP00000370034;ENSP00000264257;ENSP00000415139;ENSP00000233954;ENSP00000256458;ENSP00000284818;ENSP00000390651;ENSP00000376445;ENSP00000261233;ENSP00000353874;ENSP00000259205;ENSP00000455510;ENSP00000354932;ENSP00000330959;ENSP00000296795;ENSP00000263339;ENSP00000389600;ENSP00000217407
57	M1	e019_M1	integrated stress response signaling / Cocaine addiction / CREB3 factors activate genes	GO:0140467	REAC:R-HSA-8874211	KEGG:05030	GO:0050896;GO:0050789	ENSP00000336790;ENSP00000340434;ENSP00000345393;ENSP00000354855;ENSP00000327048;ENSP00000263666;ENSP00000243440;ENSP00000388910;ENSP00000329140;ENSP00000456566;ENSP00000342136;ENSP00000448665;ENSP00000384197;ENSP00000264716;ENSP00000350369;ENSP00000265372;ENSP00000445626;ENSP00000382805;ENSP00000303315;ENSP00000310170;ENSP00000257749;ENSP00000481956;ENSP00000380252;ENSP00000228865;ENSP00000078445;ENSP00000439120;ENSP00000222122;ENSP00000344352;ENSP00000433459;ENSP00000262053;ENSP00000056233;ENSP00000357596;ENSP00000389377;ENSP00000399465;ENSP00000239938;ENSP00000267569;ENSP00000252818;ENSP00000296953;ENSP00000318944;ENSP00000379330;ENSP00000300659;ENSP00000222305;ENSP00000350359;ENSP00000386165;ENSP00000479910;ENSP00000396954;ENSP00000286639;ENSP00000245919;ENSP00000344903;ENSP00000206513;ENSP00000342755;ENSP00000284000;ENSP00000301887
58	M1	e019_M1	negative regulation of MAPK cascade / MAPK signaling pathway / RAF-independent MAPK1/3 activation	GO:0043409	REAC:R-HSA-112409	KEGG:04010	GO:0006793;GO:0050789;GO:0036211;GO:0050896	ENSP00000211287;ENSP00000396467;ENSP00000345853;ENSP00000279488;ENSP00000365005;ENSP00000311005;ENSP00000226004;ENSP00000356070;ENSP00000256261;ENSP00000466174;ENSP00000346160;ENSP00000444743;ENSP00000239223;ENSP00000402154;ENSP00000310094;ENSP00000345083;ENSP00000346255;ENSP00000390762;ENSP00000381364;ENSP00000306682;ENSP00000360025;ENSP00000333685;ENSP00000417183;ENSP00000361785;ENSP00000354483;ENSP00000312081;ENSP00000355866;ENSP00000254654;ENSP00000341658;ENSP00000240100;ENSP00000375986;ENSP00000358596;ENSP00000261845;ENSP00000449381;ENSP00000252506;ENSP00000178640;ENSP00000468348;ENSP00000283228;ENSP00000346599;ENSP00000248600;ENSP00000405327;ENSP00000337691;ENSP00000361014;ENSP00000229795;ENSP00000373702;ENSP00000380530;ENSP00000383234;ENSP00000477341;ENSP00000363459;ENSP00000215659;ENSP00000340609;ENSP00000288943;ENSP00000345629
59	M1	e019_M1	vesicle tethering involved in exocytosis / VxPx cargo-targeting to cilium	GO:0090522	REAC:R-HSA-5620916	NA	GO:0016192;GO:0022406;GO:0046903;GO:0051640;GO:0061024	ENSP00000334100;ENSP00000482620;ENSP00000429900;ENSP00000338769;ENSP00000262305;ENSP00000298316;ENSP00000460380;ENSP00000238738;ENSP00000005257;ENSP00000484855;ENSP00000355605;ENSP00000230449;ENSP00000452634;ENSP00000260762;ENSP00000370695;ENSP00000425587;ENSP00000253861;ENSP00000272519;ENSP00000272427;ENSP00000324302;ENSP00000296343;ENSP00000388001;ENSP00000369409;ENSP00000325674;ENSP00000400713;ENSP00000158762;ENSP00000386289;ENSP00000377140;ENSP00000328478;ENSP00000384264;ENSP00000262304;ENSP00000320117;ENSP00000293970;ENSP00000263160;ENSP00000251102;ENSP00000237596;ENSP00000348982;ENSP00000387498;ENSP00000369268;ENSP00000454500;ENSP00000402301;ENSP00000316605;ENSP00000351632;ENSP00000360158;ENSP00000480090;ENSP00000289672;ENSP00000485172;ENSP00000485105;ENSP00000274473;ENSP00000261892;ENSP00000325296;ENSP00000344801
60	M1	e019_M1	ribosomal large subunit biogenesis	GO:0042273	NA	NA	GO:0042254;GO:0006396	ENSP00000253107;ENSP00000254605;ENSP00000355899;ENSP00000417464;ENSP00000376945;ENSP00000261015;ENSP00000353246;ENSP00000432119;ENSP00000323858;ENSP00000339145;ENSP00000359688;ENSP00000352021;ENSP00000357123;ENSP00000483484;ENSP00000358400;ENSP00000366519;ENSP00000350954;ENSP00000258772;ENSP00000358563;ENSP00000254940;ENSP00000455106;ENSP00000380982;ENSP00000386226;ENSP00000338573;ENSP00000234170;ENSP00000377385;ENSP00000483495;ENSP00000305702;ENSP00000357113;ENSP00000346725;ENSP00000481495;ENSP00000361092;ENSP00000354040;ENSP00000407323;ENSP00000476221;ENSP00000223073;ENSP00000285814;ENSP00000396673;ENSP00000338862;ENSP00000263239;ENSP00000364320;ENSP00000246802;ENSP00000395772;ENSP00000317992;ENSP00000402338;ENSP00000363574;ENSP00000360922;ENSP00000322396;ENSP00000371858;ENSP00000360412
61	M1	e019_M1	iron-sulfur cluster assembly / Cytosolic iron-sulfur cluster assembly	GO:0016226	REAC:R-HSA-2564830	NA	GO:0006790;GO:0022607	ENSP00000331127;ENSP00000306752;ENSP00000328570;ENSP00000360147;ENSP00000262302;ENSP00000377914;ENSP00000363205;ENSP00000357633;ENSP00000250092;ENSP00000421566;ENSP00000364945;ENSP00000377470;ENSP00000355672;ENSP00000203630;ENSP00000387471;ENSP00000300030;ENSP00000418287;ENSP00000309899;ENSP00000272067;ENSP00000254663;ENSP00000310623;ENSP00000281081;ENSP00000274695;ENSP00000387219;ENSP00000365159;ENSP00000260270;ENSP00000420026;ENSP00000261326;ENSP00000251588;ENSP00000275428;ENSP00000246070;ENSP00000284031;ENSP00000268053;ENSP00000292427;ENSP00000228606;ENSP00000222800;ENSP00000358149;ENSP00000452007;ENSP00000331369;ENSP00000360576;ENSP00000344829;ENSP00000282841;ENSP00000371471;ENSP00000349078;ENSP00000283027;ENSP00000377311;ENSP00000419395;ENSP00000265598;ENSP00000339356
62	M1	e019_M1	antigen processing and presentation / Antigen processing and presentation / Translocation of ZAP-70 to Immunological synapse	GO:0019882	REAC:R-HSA-202430	KEGG:04612	GO:0007155;GO:0050789;GO:0001775;GO:0065003;GO:0032502;GO:0002376;GO:0050896	ENSP00000378786;ENSP00000363976;ENSP00000398890;ENSP00000203629;ENSP00000009530;ENSP00000404833;ENSP00000235933;ENSP00000354782;ENSP00000339398;ENSP00000364114;ENSP00000422168;ENSP00000386559;ENSP00000364034;ENSP00000011653;ENSP00000354566;ENSP00000399168;ENSP00000300692;ENSP00000353099;ENSP00000357153;ENSP00000365817;ENSP00000364076;ENSP00000331172;ENSP00000337825;ENSP00000412927;ENSP00000390020;ENSP00000259951;ENSP00000346206;ENSP00000247461;ENSP00000375629;ENSP00000264972;ENSP00000342215;ENSP00000375616;ENSP00000251377;ENSP00000325525;ENSP00000393566;ENSP00000431445;ENSP00000295756;ENSP00000229829;ENSP00000408146;ENSP00000251372;ENSP00000477563;ENSP00000379873;ENSP00000365402;ENSP00000364080;ENSP00000390431;ENSP00000291759;ENSP00000375608;ENSP00000315997;ENSP00000452780
63	M1	e019_M1	microtubule cytoskeleton organization / Gap junction / Post-chaperonin tubulin folding pathway	GO:0000226	REAC:R-HSA-389977	KEGG:04540	GO:0050789;GO:0006996;GO:0007049	ENSP00000248437;ENSP00000264071;ENSP00000327009;ENSP00000368982;ENSP00000382982;ENSP00000286428;ENSP00000221855;ENSP00000326042;ENSP00000369784;ENSP00000309431;ENSP00000233121;ENSP00000361967;ENSP00000356989;ENSP00000318197;ENSP00000320295;ENSP00000341289;ENSP00000369989;ENSP00000447942;ENSP00000364721;ENSP00000259818;ENSP00000261597;ENSP00000369703;ENSP00000256544;ENSP00000336799;ENSP00000300249;ENSP00000339001;ENSP00000360473;ENSP00000342538;ENSP00000347719;ENSP00000357651;ENSP00000301071;ENSP00000301072;ENSP00000432768;ENSP00000439170;ENSP00000410452;ENSP00000318697;ENSP00000374183;ENSP00000217133;ENSP00000378563;ENSP00000368976;ENSP00000333326;ENSP00000299045;ENSP00000451560;ENSP00000356381;ENSP00000245121;ENSP00000202017;ENSP00000261813;ENSP00000306362;ENSP00000456206
64	M1	e019_M1	ERAD pathway / Protein processing in endoplasmic reticulum / ER Quality Control Compartment (ERQC)	GO:0036503	REAC:R-HSA-901032	KEGG:04141	GO:0009057;GO:0006508;GO:0015031;GO:0036211;GO:0050896	ENSP00000359829;ENSP00000274140;ENSP00000237455;ENSP00000297581;ENSP00000249806;ENSP00000356919;ENSP00000380401;ENSP00000348299;ENSP00000383911;ENSP00000382767;ENSP00000256497;ENSP00000259512;ENSP00000259963;ENSP00000384744;ENSP00000332681;ENSP00000287936;ENSP00000158771;ENSP00000430955;ENSP00000409555;ENSP00000392395;ENSP00000290649;ENSP00000450980;ENSP00000304051;ENSP00000366748;ENSP00000366395;ENSP00000367312;ENSP00000265565;ENSP00000276461;ENSP00000256255;ENSP00000396225;ENSP00000257575;ENSP00000363616;ENSP00000337053;ENSP00000006777;ENSP00000360593;ENSP00000410964;ENSP00000354476;ENSP00000451261;ENSP00000185150;ENSP00000364235;ENSP00000381237;ENSP00000320508;ENSP00000318165;ENSP00000245787;ENSP00000376565;ENSP00000304670;ENSP00000338348;ENSP00000344741;ENSP00000445725
65	M1	e019_M1	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum / COPI-mediated anterograde transport	GO:0006890	REAC:R-HSA-6807878	NA	GO:0016192;GO:0051641;GO:0016050;GO:0061024	ENSP00000444850;ENSP00000386918;ENSP00000262812;ENSP00000256682;ENSP00000357048;ENSP00000306010;ENSP00000263373;ENSP00000200135;ENSP00000249923;ENSP00000480707;ENSP00000329419;ENSP00000266025;ENSP00000330945;ENSP00000280772;ENSP00000402346;ENSP00000357129;ENSP00000359000;ENSP00000361057;ENSP00000257700;ENSP00000329471;ENSP00000314615;ENSP00000258739;ENSP00000262225;ENSP00000432568;ENSP00000380432;ENSP00000265709;ENSP00000349259;ENSP00000405926;ENSP00000356030;ENSP00000000233;ENSP00000263245;ENSP00000320081;ENSP00000387286;ENSP00000451752;ENSP00000440005;ENSP00000349588;ENSP00000299705;ENSP00000264028;ENSP00000377275;ENSP00000281513;ENSP00000303145;ENSP00000310226;ENSP00000449270;ENSP00000325002;ENSP00000434442;ENSP00000361824;ENSP00000270176;ENSP00000317790
66	M1	e019_M1	protein dephosphorylation / mRNA surveillance pathway / Signaling by APC mutants	GO:0006470	REAC:R-HSA-4839744	KEGG:03015	GO:0009059;GO:0050789;GO:0005976;GO:0006793;GO:0036211;GO:0006112	ENSP00000221138;ENSP00000478767;ENSP00000349124;ENSP00000055335;ENSP00000399970;ENSP00000412324;ENSP00000164133;ENSP00000378306;ENSP00000261461;ENSP00000341779;ENSP00000337641;ENSP00000238994;ENSP00000264977;ENSP00000326031;ENSP00000234310;ENSP00000307786;ENSP00000375080;ENSP00000408288;ENSP00000306253;ENSP00000377036;ENSP00000296490;ENSP00000365694;ENSP00000393832;ENSP00000389168;ENSP00000279387;ENSP00000380878;ENSP00000483228;ENSP00000311344;ENSP00000356156;ENSP00000418447;ENSP00000378769;ENSP00000268459;ENSP00000335083;ENSP00000417963;ENSP00000200453;ENSP00000461749;ENSP00000284601;ENSP00000383402;ENSP00000477868;ENSP00000377936;ENSP00000308318;ENSP00000325074;ENSP00000305924;ENSP00000405635;ENSP00000358464;ENSP00000324804;ENSP00000360035;ENSP00000378323
67	M1	e019_M1	extrinsic apoptotic signaling pathway / Apoptosis / Dimerization of procaspase-8	GO:0097191	REAC:R-HSA-69416	KEGG:04210	GO:0065009;GO:0050789	ENSP00000286186;ENSP00000162749;ENSP00000303394;ENSP00000217169;ENSP00000308351;ENSP00000398495;ENSP00000221132;ENSP00000356985;ENSP00000258080;ENSP00000337797;ENSP00000265164;ENSP00000360242;ENSP00000310263;ENSP00000438465;ENSP00000412957;ENSP00000296861;ENSP00000276431;ENSP00000349324;ENSP00000241261;ENSP00000359013;ENSP00000480348;ENSP00000259808;ENSP00000419591;ENSP00000351273;ENSP00000353732;ENSP00000347979;ENSP00000297350;ENSP00000312664;ENSP00000401197;ENSP00000351908;ENSP00000354822;ENSP00000448165;ENSP00000367013;ENSP00000301838;ENSP00000287322;ENSP00000356694;ENSP00000363157;ENSP00000311032;ENSP00000439068;ENSP00000478179;ENSP00000470082;ENSP00000330237;ENSP00000312455;ENSP00000341268;ENSP00000310933;ENSP00000216274;ENSP00000263464;ENSP00000358327
68	M1	e019_M1	collagen catabolic process / Activation of Matrix Metalloproteinases	GO:0030574	REAC:R-HSA-1592389	NA	GO:0043062;GO:0045229;GO:0008152;GO:0022411	ENSP00000319486;ENSP00000270560;ENSP00000447730;ENSP00000215743;ENSP00000309968;ENSP00000267970;ENSP00000417050;ENSP00000227155;ENSP00000361072;ENSP00000362111;ENSP00000278833;ENSP00000323929;ENSP00000337816;ENSP00000287814;ENSP00000260302;ENSP00000308208;ENSP00000279441;ENSP00000299855;ENSP00000236826;ENSP00000265983;ENSP00000216211;ENSP00000264234;ENSP00000478942;ENSP00000264031;ENSP00000312368;ENSP00000385923;ENSP00000413218;ENSP00000355938;ENSP00000218388;ENSP00000250378;ENSP00000322788;ENSP00000286614;ENSP00000262768;ENSP00000266085;ENSP00000455215;ENSP00000433816;ENSP00000376899;ENSP00000230381;ENSP00000484331;ENSP00000382213;ENSP00000358529;ENSP00000257632;ENSP00000260228;ENSP00000284987;ENSP00000313437;ENSP00000349677;ENSP00000458585
69	M1	e019_M1	ATP synthesis coupled electron transport / Cardiac muscle contraction	GO:0042773	NA	KEGG:04260	GO:0022900;GO:0006119	ENSP00000457513;ENSP00000309749;ENSP00000360782;ENSP00000340568;ENSP00000268379;ENSP00000355572;ENSP00000216099;ENSP00000384359;ENSP00000287490;ENSP00000450281;ENSP00000354876;ENSP00000292907;ENSP00000377411;ENSP00000249269;ENSP00000317780;ENSP00000430494;ENSP00000309565;ENSP00000485401;ENSP00000467266;ENSP00000354554;ENSP00000332887;ENSP00000258424;ENSP00000321260;ENSP00000385057;ENSP00000203407;ENSP00000359098;ENSP00000354982;ENSP00000327459;ENSP00000246554;ENSP00000354499;ENSP00000317159;ENSP00000417656;ENSP00000016171;ENSP00000306397;ENSP00000428895;ENSP00000467262;ENSP00000365243;ENSP00000367939;ENSP00000261643;ENSP00000379784;ENSP00000229335;ENSP00000355340;ENSP00000413908;ENSP00000229379;ENSP00000367938;ENSP00000425759;ENSP00000341610
70	M1	e019_M1	chaperone cofactor-dependent protein refolding / Regulation of HSF1-mediated heat shock response	GO:0051085	REAC:R-HSA-3371453	NA	GO:0006457	ENSP00000249356;ENSP00000415115;ENSP00000364805;ENSP00000370395;ENSP00000404079;ENSP00000225171;ENSP00000364815;ENSP00000314030;ENSP00000369127;ENSP00000338019;ENSP00000356687;ENSP00000318687;ENSP00000358211;ENSP00000294053;ENSP00000344431;ENSP00000417548;ENSP00000378199;ENSP00000285667;ENSP00000377086;ENSP00000404381;ENSP00000302843;ENSP00000367623;ENSP00000331268;ENSP00000338533;ENSP00000366179;ENSP00000345575;ENSP00000417418;ENSP00000220496;ENSP00000278483;ENSP00000341247;ENSP00000307197;ENSP00000365007;ENSP00000378324;ENSP00000296464;ENSP00000357998;ENSP00000297185;ENSP00000254963;ENSP00000446830;ENSP00000262177;ENSP00000269881;ENSP00000360803;ENSP00000262375;ENSP00000368565;ENSP00000254322;ENSP00000359799;ENSP00000310219;ENSP00000371451
71	M1	e019_M1	protein targeting to peroxisome / Peroxisome / Peroxisomal protein import	GO:0006625	REAC:R-HSA-9033241	KEGG:04146	GO:0044255;GO:0006082;GO:0007031;GO:0015031	ENSP00000327251;ENSP00000262430;ENSP00000287078;ENSP00000391601;ENSP00000261749;ENSP00000368066;ENSP00000315680;ENSP00000264167;ENSP00000357920;ENSP00000482609;ENSP00000371517;ENSP00000317721;ENSP00000390722;ENSP00000349016;ENSP00000413575;ENSP00000390265;ENSP00000349543;ENSP00000363614;ENSP00000386146;ENSP00000285737;ENSP00000331106;ENSP00000288774;ENSP00000323071;ENSP00000278060;ENSP00000219481;ENSP00000430269;ENSP00000380251;ENSP00000303511;ENSP00000431049;ENSP00000263038;ENSP00000268533;ENSP00000323811;ENSP00000248633;ENSP00000259407;ENSP00000217455;ENSP00000265986;ENSP00000240651;ENSP00000265322;ENSP00000267842;ENSP00000228476;ENSP00000419975;ENSP00000295030;ENSP00000483757;ENSP00000483507;ENSP00000362570;ENSP00000369383;ENSP00000238651
72	M1	e019_M1	negative regulation of glucocorticoid receptor signaling pathway / Circadian rhythm / Circadian Clock	GO:2000323	REAC:R-HSA-400253	KEGG:04710	GO:0050896;GO:0050789;GO:0048511	ENSP00000355601;ENSP00000466953;ENSP00000307479;ENSP00000008527;ENSP00000314420;ENSP00000254657;ENSP00000224862;ENSP00000266503;ENSP00000363128;ENSP00000321927;ENSP00000242728;ENSP00000355204;ENSP00000478187;ENSP00000308741;ENSP00000417581;ENSP00000384517;ENSP00000295201;ENSP00000338283;ENSP00000482093;ENSP00000373565;ENSP00000378782;ENSP00000479168;ENSP00000310006;ENSP00000297689;ENSP00000162391;ENSP00000250457;ENSP00000322457;ENSP00000469686;ENSP00000384537;ENSP00000309186;ENSP00000327025;ENSP00000323816;ENSP00000226067;ENSP00000246672;ENSP00000272223;ENSP00000358210;ENSP00000290399;ENSP00000311196;ENSP00000469142;ENSP00000348460;ENSP00000366093;ENSP00000311257;ENSP00000290363;ENSP00000464258;ENSP00000355319;ENSP00000404281
73	M1	e019_M1	positive regulation of transcription elongation by RNA polymerase II / Transcriptional regulation of white adipocyte differentiation	GO:0032968	REAC:R-HSA-381340	NA	GO:0050789	ENSP00000417401;ENSP00000255764;ENSP00000481920;ENSP00000362948;ENSP00000337340;ENSP00000258648;ENSP00000312002;ENSP00000263390;ENSP00000314343;ENSP00000286317;ENSP00000435210;ENSP00000417235;ENSP00000282892;ENSP00000325612;ENSP00000263205;ENSP00000357907;ENSP00000290663;ENSP00000225728;ENSP00000292035;ENSP00000357047;ENSP00000293777;ENSP00000300651;ENSP00000380888;ENSP00000482438;ENSP00000265350;ENSP00000419692;ENSP00000312649;ENSP00000268711;ENSP00000377686;ENSP00000428982;ENSP00000361066;ENSP00000237380;ENSP00000326767;ENSP00000363193;ENSP00000399968;ENSP00000287820;ENSP00000440125;ENSP00000346634;ENSP00000323720;ENSP00000370938;ENSP00000385216;ENSP00000281928;ENSP00000369009;ENSP00000251871;ENSP00000297347;ENSP00000264867
74	M1	e019_M1	monoatomic anion homeostasis / Cation-coupled Chloride cotransporters	GO:0055081	REAC:R-HSA-426117	NA	GO:0050789;GO:0006811;GO:0016043;GO:0065008;GO:0050896	ENSP00000262461;ENSP00000341292;ENSP00000295736;ENSP00000366084;ENSP00000254301;ENSP00000161559;ENSP00000378856;ENSP00000479669;ENSP00000258418;ENSP00000064780;ENSP00000297164;ENSP00000311713;ENSP00000367086;ENSP00000348278;ENSP00000244336;ENSP00000221992;ENSP00000199764;ENSP00000296777;ENSP00000221954;ENSP00000395983;ENSP00000246914;ENSP00000194530;ENSP00000338624;ENSP00000297954;ENSP00000336655;ENSP00000346667;ENSP00000365505;ENSP00000455169;ENSP00000261854;ENSP00000428489;ENSP00000387694;ENSP00000346112;ENSP00000469421;ENSP00000399679;ENSP00000329932;ENSP00000315564;ENSP00000264930;ENSP00000379822;ENSP00000417498;ENSP00000378427;ENSP00000386377;ENSP00000307513;ENSP00000318066;ENSP00000358501;ENSP00000315387
