module	monet_type	experiment_info	function_summary	term_id_GO_BP	term_id_KEGG	term_id_REAC	goslim_pir	genes
11	R1	e019_R1	positive regulation of telomere maintenance in response to DNA damage / DNA Damage Recognition in GG-NER	GO:1904507	NA	REAC:R-HSA-5696394	GO:0050789;GO:0051276;GO:0050896;GO:0006259	ENSP00000005386;ENSP00000188312;ENSP00000233331;ENSP00000243903;ENSP00000262265;ENSP00000264279;ENSP00000280350;ENSP00000304593;ENSP00000318297;ENSP00000336842;ENSP00000349640;ENSP00000355205;ENSP00000356425;ENSP00000359606;ENSP00000368459;ENSP00000375639;ENSP00000384198;ENSP00000391457;ENSP00000406037;ENSP00000436926;ENSP00000457016;ENSP00000463154;ENSP00000467041;ENSP00000473172;ENSP00000484687
12	R1	e019_R1	immune response-regulating cell surface receptor signaling pathway / B cell receptor signaling pathway / Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	GO:0002768	KEGG:04662	REAC:R-HSA-983695	GO:0002376;GO:0050789	ENSP00000005587;ENSP00000046794;ENSP00000221972;ENSP00000224337;ENSP00000248598;ENSP00000252593;ENSP00000291759;ENSP00000303507;ENSP00000305988;ENSP00000323280;ENSP00000339186;ENSP00000342681;ENSP00000357231;ENSP00000370912;ENSP00000376544;ENSP00000378845;ENSP00000379980;ENSP00000391592;ENSP00000398655;ENSP00000417653;ENSP00000420494;ENSP00000423602;ENSP00000427114;ENSP00000440428;ENSP00000465039;ENSP00000472929;ENSP00000482457;ENSP00000483570
13	R1	e019_R1	regulation of cell fate specification / RNA Polymerase I Transcription Initiation	GO:0042659	NA	REAC:R-HSA-73762	GO:0032502;GO:0050789;GO:0016043	ENSP00000006015;ENSP00000235090;ENSP00000242480;ENSP00000255120;ENSP00000256429;ENSP00000262450;ENSP00000264108;ENSP00000264674;ENSP00000278823;ENSP00000300131;ENSP00000301280;ENSP00000315700;ENSP00000326630;ENSP00000329097;ENSP00000329170;ENSP00000333633;ENSP00000338774;ENSP00000349508;ENSP00000353463;ENSP00000357644;ENSP00000362103;ENSP00000362592;ENSP00000368761;ENSP00000368880;ENSP00000369424;ENSP00000369716;ENSP00000370800;ENSP00000375921;ENSP00000380093;ENSP00000383973;ENSP00000412302;ENSP00000430432
14	R1	e019_R1	vesicle tethering / RAB GEFs exchange GTP for GDP on RABs	GO:0099022	NA	REAC:R-HSA-8876198	GO:0016050;GO:0061024	ENSP00000006275;ENSP00000276449;ENSP00000283351;ENSP00000291574;ENSP00000297508;ENSP00000301021;ENSP00000302783;ENSP00000324318;ENSP00000330289;ENSP00000335371;ENSP00000357564;ENSP00000357591;ENSP00000373979;ENSP00000379563;ENSP00000383212;ENSP00000392495;ENSP00000409231;ENSP00000420127;ENSP00000436005;ENSP00000469888;ENSP00000470262;ENSP00000480332;ENSP00000485615
15	R1	e019_R1	cell adhesion mediated by integrin / ECM-receptor interaction / Integrin cell surface interactions	GO:0033627	KEGG:04512	REAC:R-HSA-216083	GO:0050789;GO:0007155	ENSP00000007722;ENSP00000200557;ENSP00000215637;ENSP00000222573;ENSP00000264246;ENSP00000264377;ENSP00000264870;ENSP00000265727;ENSP00000265769;ENSP00000267082;ENSP00000283249;ENSP00000293379;ENSP00000294728;ENSP00000296181;ENSP00000299106;ENSP00000312273;ENSP00000312506;ENSP00000327290;ENSP00000347665;ENSP00000355751;ENSP00000356382;ENSP00000358310;ENSP00000360472;ENSP00000367316;ENSP00000373854;ENSP00000380227;ENSP00000383376;ENSP00000389252
16	R1	e019_R1	circadian regulation of gene expression / Circadian rhythm / Circadian Clock	GO:0032922	KEGG:04710	REAC:R-HSA-400253	GO:0050789;GO:0050896;GO:0048511	ENSP00000008527;ENSP00000230340;ENSP00000254657;ENSP00000256495;ENSP00000258886;ENSP00000262407;ENSP00000263657;ENSP00000266503;ENSP00000268802;ENSP00000283109;ENSP00000301364;ENSP00000308741;ENSP00000314420;ENSP00000324464;ENSP00000338283;ENSP00000344866;ENSP00000347834;ENSP00000355319;ENSP00000356548;ENSP00000363128;ENSP00000367498;ENSP00000380044;ENSP00000384517;ENSP00000478187;ENSP00000479860
17	R1	e019_R1	response to heat / Cellular response to heat stress	GO:0009408	NA	REAC:R-HSA-3371556	GO:0050896;GO:0006457	ENSP00000008938;ENSP00000199280;ENSP00000219548;ENSP00000231238;ENSP00000245816;ENSP00000248553;ENSP00000262177;ENSP00000278483;ENSP00000281938;ENSP00000294053;ENSP00000300107;ENSP00000302961;ENSP00000306015;ENSP00000358081;ENSP00000359727;ENSP00000359799;ENSP00000362390;ENSP00000367623;ENSP00000368565;ENSP00000369127;ENSP00000420514;ENSP00000468057;ENSP00000473631
18	R1	e019_R1	peptide antigen assembly with MHC class II protein complex / Graft-versus-host disease / MHC class II antigen presentation	GO:0002503	KEGG:05332	REAC:R-HSA-2132295	GO:0002376;GO:0050789;GO:0065003;GO:0001775	ENSP00000009530;ENSP00000215754;ENSP00000229829;ENSP00000235933;ENSP00000259951;ENSP00000293330;ENSP00000315997;ENSP00000325525;ENSP00000339398;ENSP00000339634;ENSP00000342215;ENSP00000353099;ENSP00000362524;ENSP00000363976;ENSP00000364076;ENSP00000364080;ENSP00000364114;ENSP00000365402;ENSP00000375608;ENSP00000375629;ENSP00000378786;ENSP00000381386;ENSP00000384387;ENSP00000390020;ENSP00000390431;ENSP00000393566;ENSP00000398890;ENSP00000399168;ENSP00000408146;ENSP00000412927
19	R1	e019_R1	EGFR tyrosine kinase inhibitor resistance / MET activates RAS signaling	NA	KEGG:01521	REAC:R-HSA-8851805	NA	ENSP00000011619;ENSP00000216341;ENSP00000216373;ENSP00000222390;ENSP00000231009;ENSP00000241453;ENSP00000242465;ENSP00000254667;ENSP00000263100;ENSP00000266069;ENSP00000268719;ENSP00000269209;ENSP00000273261;ENSP00000283632;ENSP00000302830;ENSP00000316589;ENSP00000317272;ENSP00000323527;ENSP00000329668;ENSP00000349727;ENSP00000369756;ENSP00000370074;ENSP00000376345;ENSP00000389026;ENSP00000398568;ENSP00000406970;ENSP00000408108;ENSP00000414350;ENSP00000420333;ENSP00000420875;ENSP00000463092;ENSP00000469613
20	R1	e019_R1	T cell receptor signaling pathway / Primary immunodeficiency / Translocation of ZAP-70 to Immunological synapse	GO:0050852	KEGG:05340	REAC:R-HSA-202430	GO:0002376;GO:0050789	ENSP00000011653;ENSP00000215838;ENSP00000234256;ENSP00000262866;ENSP00000264033;ENSP00000264972;ENSP00000265162;ENSP00000266041;ENSP00000268383;ENSP00000291009;ENSP00000291890;ENSP00000292401;ENSP00000295756;ENSP00000300692;ENSP00000301458;ENSP00000302935;ENSP00000316329;ENSP00000317327;ENSP00000331172;ENSP00000337825;ENSP00000341637;ENSP00000342156;ENSP00000350075;ENSP00000354566;ENSP00000354782;ENSP00000359563;ENSP00000360689;ENSP00000369217;ENSP00000386559;ENSP00000400906;ENSP00000419945;ENSP00000422168;ENSP00000431445;ENSP00000444408;ENSP00000481675;ENSP00000485133
21	R1	e019_R1	positive regulation of establishment of protein localization to telomere / Folding of actin by CCT/TriC	GO:1904851	NA	REAC:R-HSA-390450	GO:0050789;GO:0051641;GO:0051234;GO:0006457	ENSP00000012443;ENSP00000222005;ENSP00000246062;ENSP00000258091;ENSP00000264254;ENSP00000275603;ENSP00000280326;ENSP00000286788;ENSP00000295688;ENSP00000298552;ENSP00000299300;ENSP00000301046;ENSP00000317334;ENSP00000325919;ENSP00000327191;ENSP00000329915;ENSP00000353048;ENSP00000369055;ENSP00000369784;ENSP00000370222;ENSP00000376946;ENSP00000377958;ENSP00000403077;ENSP00000438273;ENSP00000475727
22	R1	e019_R1	double-strand break repair via nonhomologous end joining / Non-homologous end-joining / Nonhomologous End-Joining (NHEJ)	GO:0006303	KEGG:03450	REAC:R-HSA-5693571	GO:0002376;GO:0006266;GO:0006281	ENSP00000013807;ENSP00000233146;ENSP00000234420;ENSP00000265038;ENSP00000280700;ENSP00000285021;ENSP00000300145;ENSP00000307004;ENSP00000310008;ENSP00000310520;ENSP00000313420;ENSP00000347978;ENSP00000349313;ENSP00000350708;ENSP00000352257;ENSP00000359181;ENSP00000359300;ENSP00000360216;ENSP00000360682;ENSP00000364270;ENSP00000367527;ENSP00000375978;ENSP00000379174;ENSP00000382218;ENSP00000398824;ENSP00000400806;ENSP00000421491;ENSP00000467024;ENSP00000478320;ENSP00000484288
23	R1	e019_R1	heme a metabolic process	GO:0046160	NA	NA	GO:0065003	ENSP00000016171;ENSP00000261643;ENSP00000361042
24	R1	e019_R1	cholecystokinin signaling pathway / Pancreatic secretion / GPCR ligand binding	GO:0038188	KEGG:04972	REAC:R-HSA-500792	GO:0050789	ENSP00000019103;ENSP00000176195;ENSP00000295589;ENSP00000331358;ENSP00000335544;ENSP00000354416;ENSP00000379472
25	R1	e019_R1	neutral amino acid transport / Basigin interactions	GO:0015804	NA	REAC:R-HSA-210991	GO:0006865	ENSP00000023064;ENSP00000253188;ENSP00000260649;ENSP00000261622;ENSP00000280612;ENSP00000320378;ENSP00000367123;ENSP00000380666;ENSP00000398632;ENSP00000455064;ENSP00000478639
26	R1	e019_R1	chloride transmembrane transport / Nicotine addiction / GABA receptor activation	GO:1902476	KEGG:05033	REAC:R-HSA-977443	GO:0006811;GO:0007033;GO:0065008;GO:0007154;GO:0022607	ENSP00000025008;ENSP00000253401;ENSP00000264318;ENSP00000264428;ENSP00000274093;ENSP00000274545;ENSP00000274547;ENSP00000295454;ENSP00000296679;ENSP00000308725;ENSP00000324560;ENSP00000335592;ENSP00000338990;ENSP00000359337;ENSP00000365576;ENSP00000373918;ENSP00000378914;ENSP00000381293;ENSP00000385025;ENSP00000386921;ENSP00000393097;ENSP00000402584;ENSP00000403400;ENSP00000409126;ENSP00000410732;ENSP00000417901;ENSP00000421828;ENSP00000432412;ENSP00000482753
27	R1	e019_R1	GPI anchor biosynthetic process / Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GO:0006506	KEGG:00563	NA	GO:0036211;GO:0044255;GO:0009059;GO:0006793	ENSP00000026218;ENSP00000216452;ENSP00000254801;ENSP00000265070;ENSP00000271732;ENSP00000316152;ENSP00000322181;ENSP00000348888;ENSP00000356702;ENSP00000357384;ENSP00000360644;ENSP00000369820;ENSP00000373713;ENSP00000420037;ENSP00000432688;ENSP00000437073
28	R1	e019_R1	Notch receptor processing / Noncanonical activation of NOTCH3	GO:0007220	NA	REAC:R-HSA-9017802	GO:0006518;GO:0006508	ENSP00000027335;ENSP00000219169;ENSP00000261769;ENSP00000261879;ENSP00000263087;ENSP00000269141;ENSP00000281092;ENSP00000285379;ENSP00000294785;ENSP00000304669;ENSP00000307134;ENSP00000314153;ENSP00000326366;ENSP00000344115;ENSP00000349477;ENSP00000355747;ENSP00000358105;ENSP00000362125;ENSP00000377508;ENSP00000378400;ENSP00000382004;ENSP00000442954;ENSP00000468411
29	R1	e019_R1	organelle disassembly / Mitophagy - animal	GO:1903008	KEGG:04137	NA	GO:0022411;GO:0007005;GO:0006914	ENSP00000037243;ENSP00000237642;ENSP00000264689;ENSP00000266458;ENSP00000268607;ENSP00000283290;ENSP00000295888;ENSP00000306866;ENSP00000329507;ENSP00000346437;ENSP00000348565;ENSP00000356982;ENSP00000363970;ENSP00000365962;ENSP00000367284;ENSP00000368970;ENSP00000370003;ENSP00000373413;ENSP00000374455;ENSP00000376822;ENSP00000384259;ENSP00000411250;ENSP00000450524
30	R1	e019_R1	neurotrophin signaling pathway / Neurotrophin signaling pathway / p75NTR regulates axonogenesis	GO:0038179	KEGG:04722	REAC:R-HSA-193697	GO:0050789;GO:0050896	ENSP00000043402;ENSP00000172229;ENSP00000228437;ENSP00000247271;ENSP00000256637;ENSP00000277120;ENSP00000299314;ENSP00000300060;ENSP00000310561;ENSP00000332643;ENSP00000337838;ENSP00000342805;ENSP00000343706;ENSP00000347451;ENSP00000353104;ENSP00000357480;ENSP00000358525;ENSP00000361728;ENSP00000371693;ENSP00000376048;ENSP00000376753;ENSP00000378483;ENSP00000378485;ENSP00000386104;ENSP00000396843;ENSP00000401566;ENSP00000414303;ENSP00000422185;ENSP00000431418;ENSP00000469455;ENSP00000478533
31	R1	e019_R1	Proteasome / Cross-presentation of soluble exogenous antigens (endosomes)	NA	KEGG:03050	REAC:R-HSA-1236978	GO:0006508;GO:0009057	ENSP00000044462;ENSP00000157812;ENSP00000210313;ENSP00000215071;ENSP00000216802;ENSP00000217515;ENSP00000217958;ENSP00000219313;ENSP00000223321;ENSP00000228506;ENSP00000237530;ENSP00000244763;ENSP00000250498;ENSP00000259335;ENSP00000259457;ENSP00000261303;ENSP00000261479;ENSP00000261601;ENSP00000261712;ENSP00000262193;ENSP00000264639;ENSP00000265044;ENSP00000270586;ENSP00000271308;ENSP00000290541;ENSP00000293362;ENSP00000295702;ENSP00000295770;ENSP00000296255;ENSP00000296786;ENSP00000309474;ENSP00000310129;ENSP00000310572;ENSP00000311121;ENSP00000311665;ENSP00000317331;ENSP00000338039;ENSP00000348442;ENSP00000351314;ENSP00000354649;ENSP00000355325;ENSP00000362334;ENSP00000363993;ENSP00000364016;ENSP00000372155;ENSP00000376472;ENSP00000377051;ENSP00000384211;ENSP00000386212;ENSP00000386541;ENSP00000391211;ENSP00000396937;ENSP00000399457;ENSP00000401802;ENSP00000414359;ENSP00000418695;ENSP00000424544;ENSP00000426167;ENSP00000437957;ENSP00000440485;ENSP00000443216;ENSP00000457935;ENSP00000478877;ENSP00000481021;ENSP00000481029;ENSP00000483688
32	R1	e019_R1	epidermal growth factor receptor signaling pathway / ErbB signaling pathway / Inhibition of Signaling by Overexpressed EGFR	GO:0007173	KEGG:04012	REAC:R-HSA-5638303	GO:0050789;GO:0065009	ENSP00000052754;ENSP00000265171;ENSP00000266088;ENSP00000270279;ENSP00000275493;ENSP00000295400;ENSP00000296695;ENSP00000362680;ENSP00000364995;ENSP00000366702;ENSP00000371420;ENSP00000379097;ENSP00000402301;ENSP00000410689;ENSP00000411898;ENSP00000480301;ENSP00000484824
33	R1	e019_R1	IL-17 signaling pathway / Interleukin-17 signaling	NA	KEGG:04657	REAC:R-HSA-448424	GO:0050789;GO:0050896	ENSP00000053243;ENSP00000228284;ENSP00000244241;ENSP00000261464;ENSP00000261652;ENSP00000261796;ENSP00000265560;ENSP00000280377;ENSP00000288167;ENSP00000291232;ENSP00000295981;ENSP00000296318;ENSP00000320936;ENSP00000328111;ENSP00000337432;ENSP00000343505;ENSP00000344192;ENSP00000352039;ENSP00000354911;ENSP00000357750;ENSP00000365048;ENSP00000373325;ENSP00000433623
34	R1	e019_R1	Mitochondrial translation initiation	NA	NA	REAC:R-HSA-5368286	GO:0006412	ENSP00000053468;ENSP00000081029;ENSP00000177742;ENSP00000199706;ENSP00000223324;ENSP00000225969;ENSP00000229238;ENSP00000245539;ENSP00000252602;ENSP00000253099;ENSP00000253686;ENSP00000254630;ENSP00000254928;ENSP00000256441;ENSP00000258105;ENSP00000258383;ENSP00000258455;ENSP00000259873;ENSP00000260102;ENSP00000263629;ENSP00000264995;ENSP00000272418;ENSP00000276585;ENSP00000279242;ENSP00000285298;ENSP00000288937;ENSP00000290208;ENSP00000295491;ENSP00000296102;ENSP00000300151;ENSP00000301585;ENSP00000305682;ENSP00000306548;ENSP00000308275;ENSP00000308717;ENSP00000310726;ENSP00000312311;ENSP00000315017;ENSP00000315397;ENSP00000317376;ENSP00000318158;ENSP00000320184;ENSP00000323065;ENSP00000331849;ENSP00000333401;ENSP00000333837;ENSP00000338057;ENSP00000338389;ENSP00000339844;ENSP00000341082;ENSP00000342676;ENSP00000343867;ENSP00000347277;ENSP00000352706;ENSP00000354086;ENSP00000354525;ENSP00000354580;ENSP00000356001;ENSP00000357320;ENSP00000357823;ENSP00000360498;ENSP00000360850;ENSP00000361084;ENSP00000361206;ENSP00000361923;ENSP00000362036;ENSP00000362208;ENSP00000363999;ENSP00000369682;ENSP00000370508;ENSP00000373404;ENSP00000376732;ENSP00000377486;ENSP00000380466;ENSP00000382250;ENSP00000384952;ENSP00000390331;ENSP00000403614;ENSP00000417602;ENSP00000418008;ENSP00000419038;ENSP00000419370;ENSP00000420714;ENSP00000423399;ENSP00000424328;ENSP00000426941;ENSP00000431040;ENSP00000449884;ENSP00000461930;ENSP00000478035;ENSP00000483491;ENSP00000484903
35	R1	e019_R1	vesicle fusion / SNARE interactions in vesicular transport	GO:0006906	KEGG:04130	NA	GO:0006836;GO:0046903;GO:0016050;GO:0048284;GO:0061024;GO:0065008;GO:0051640;GO:0016192;GO:0022406	ENSP00000054666;ENSP00000215095;ENSP00000215730;ENSP00000222812;ENSP00000249647;ENSP00000254976;ENSP00000259400;ENSP00000261707;ENSP00000262640;ENSP00000263864;ENSP00000273666;ENSP00000317714;ENSP00000320679;ENSP00000321826;ENSP00000338562;ENSP00000346265;ENSP00000356540;ENSP00000359025;ENSP00000360183;ENSP00000362711;ENSP00000367197;ENSP00000376178;ENSP00000379602;ENSP00000387282;ENSP00000413606;ENSP00000444201;ENSP00000456226;ENSP00000464383;ENSP00000482826
36	R1	e019_R1	Peptide ligand-binding receptors	NA	NA	REAC:R-HSA-375276	GO:0008015	ENSP00000054668;ENSP00000323516;ENSP00000340526
37	R1	e019_R1	DNA replication / HDR through Single Strand Annealing (SSA)	GO:0006260	NA	REAC:R-HSA-5685938	GO:0050789;GO:0006260;GO:0006281;GO:0065009	ENSP00000055077;ENSP00000254719;ENSP00000258774;ENSP00000260810;ENSP00000261881;ENSP00000262315;ENSP00000267890;ENSP00000278935;ENSP00000281142;ENSP00000306105;ENSP00000311360;ENSP00000312995;ENSP00000313171;ENSP00000313816;ENSP00000322180;ENSP00000323099;ENSP00000324292;ENSP00000343741;ENSP00000349823;ENSP00000351284;ENSP00000361170;ENSP00000363017;ENSP00000369411;ENSP00000370293;ENSP00000371321;ENSP00000371469;ENSP00000376272;ENSP00000376440;ENSP00000380911;ENSP00000388648;ENSP00000408295;ENSP00000408367;ENSP00000426191;ENSP00000450607;ENSP00000479598
38	R1	e019_R1	action potential / Interaction between L1 and Ankyrins	GO:0001508	NA	REAC:R-HSA-445095	GO:0006811;GO:0065008;GO:0006936;GO:0007154;GO:0050789;GO:0008015	ENSP00000070846;ENSP00000257189;ENSP00000257192;ENSP00000257198;ENSP00000261590;ENSP00000263946;ENSP00000278947;ENSP00000280904;ENSP00000283254;ENSP00000292377;ENSP00000300061;ENSP00000320663;ENSP00000322460;ENSP00000331678;ENSP00000345751;ENSP00000353292;ENSP00000353608;ENSP00000364586;ENSP00000369129;ENSP00000373700;ENSP00000384604;ENSP00000385451;ENSP00000386306;ENSP00000390600;ENSP00000396320;ENSP00000396915
40	R1	e019_R1	vein smooth muscle contraction / Renin secretion / Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	GO:0014826	KEGG:04924	REAC:R-HSA-434316	GO:0065008;GO:0050789;GO:0006936;GO:0065009	ENSP00000078429;ENSP00000235382;ENSP00000246553;ENSP00000260402;ENSP00000262958;ENSP00000286548;ENSP00000304767;ENSP00000315011;ENSP00000325941;ENSP00000335560;ENSP00000337128;ENSP00000338185;ENSP00000361668;ENSP00000365006;ENSP00000365807;ENSP00000366416;ENSP00000368683;ENSP00000378492;ENSP00000437737;ENSP00000440556;ENSP00000443631;ENSP00000466933
41	R1	e019_R1	mRNA transcription by RNA polymerase II / PPAR signaling pathway / Nuclear Receptor transcription pathway	GO:0042789	KEGG:03320	REAC:R-HSA-383280	GO:0006351;GO:0007154;GO:0048511;GO:0050789;GO:0050896	ENSP00000078445;ENSP00000216271;ENSP00000228606;ENSP00000253727;ENSP00000254066;ENSP00000254227;ENSP00000261523;ENSP00000264637;ENSP00000264867;ENSP00000278070;ENSP00000295834;ENSP00000297258;ENSP00000305899;ENSP00000310928;ENSP00000312987;ENSP00000325819;ENSP00000327025;ENSP00000332296;ENSP00000336528;ENSP00000352900;ENSP00000355904;ENSP00000356959;ENSP00000362354;ENSP00000363817;ENSP00000376924;ENSP00000379904;ENSP00000383063;ENSP00000384018;ENSP00000384851;ENSP00000385216;ENSP00000385523;ENSP00000388510;ENSP00000397908;ENSP00000399968;ENSP00000419692;ENSP00000431162;ENSP00000440125;ENSP00000440864;ENSP00000447149;ENSP00000447173;ENSP00000457466;ENSP00000477707
42	R1	e019_R1	regulation of transcription from RNA polymerase II promoter in response to stress / Aryl hydrocarbon receptor signalling	GO:0043618	NA	REAC:R-HSA-8937144	GO:0050789;GO:0050896	ENSP00000080059;ENSP00000216037;ENSP00000221476;ENSP00000242057;ENSP00000299163;ENSP00000299198;ENSP00000305355;ENSP00000307479;ENSP00000311196;ENSP00000348460;ENSP00000351407;ENSP00000356696;ENSP00000358210;ENSP00000364398;ENSP00000366898;ENSP00000369855;ENSP00000426909;ENSP00000437955;ENSP00000469142
43	R1	e019_R1	semaphorin-plexin signaling pathway / Prolactin receptor signaling	GO:0071526	NA	REAC:R-HSA-1170546	GO:0050789	ENSP00000085219;ENSP00000201031;ENSP00000291526;ENSP00000291527;ENSP00000302150;ENSP00000306844;ENSP00000312673;ENSP00000325589;ENSP00000329292;ENSP00000351338;ENSP00000357177;ENSP00000401853;ENSP00000409171;ENSP00000411355;ENSP00000416523;ENSP00000430690;ENSP00000457230;ENSP00000481056;ENSP00000482954;ENSP00000483403
